wday,hour,N
1,0,1.00000345792618
1,1,1.00000655993328
1,2,1.00000911072558
1,3,1.00001091112176
1,4,1.00001180962902
1,5,1.00001170988755
1,6,1.00001056241145
1,7,1.00000856282214
1,8,1.00000599192645
1,9,1.00000312913579
1,10,1.0000002515661
1,11,0.999997610838993
1,12,0.999995257676502
1,13,0.999993147322231
1,14,0.999991287208863
1,15,0.999989795446709
1,16,0.999988809045554
1,17,0.999988522712336
1,18,0.999989168266409
1,19,0.99999086704379
1,20,0.99999342078992
1,21,0.999996572079531
1,22,1.00000002655767
1,23,1.00000345792618
2,0,1.0000017473393
2,1,1.00000184959556
2,2,1.00000183753656
2,3,1.00000170201587
2,4,1.00000145119236
2,5,1.00000111323167
2,6,1.00000071590573
2,7,1.0000002785473
2,8,0.99999981746437
2,9,0.999999343506881
2,10,0.999998859069371
2,11,0.999998373233116
2,12,0.999997953959812
2,13,0.999997697086533
2,14,0.999997665651765
2,15,0.999997853552815
2,16,0.999998243541732
2,17,0.999998790015398
2,18,0.999999429073976
2,19,1.00000009346387
2,20,1.00000070716144
2,21,1.00000119544361
2,22,1.00000153507164
2,23,1.0000017473393
3,0,1.00019369795558
3,1,1.00020819147357
3,2,1.00020170472307
3,3,1.00018279290355
3,4,1.00015757003745
3,5,1.00012932789001
3,6,1.00010042909222
3,7,1.00006891682334
3,8,1.00003136368826
3,9,0.999986204206099
3,10,0.99993476119989
3,11,0.999879110147821
3,12,0.999825330719992
3,13,0.99978140407026
3,14,0.999754023424204
3,15,0.999747156564633
3,16,0.99976406811531
3,17,0.999803837963045
3,18,0.999862844859597
3,19,0.999936123019664
3,20,1.00001496852362
3,21,1.000090035186
3,22,1.00015243945725
3,23,1.00019369795558
4,0,1.00000936127807
4,1,1.0000080719101
4,2,1.00000599519742
4,3,1.00000334289571
4,4,1.00000037507604
4,5,0.999997407667181
4,6,0.999994746842762
4,7,0.999992626778407
4,8,0.999991254285704
4,9,0.999990696088798
4,10,0.999990801815246
4,11,0.999991407852983
4,12,0.999992393755826
4,13,0.999993659936148
4,14,0.999995151414926
4,15,0.999996906491432
4,16,0.99999896536582
4,17,1.00000125379575
4,18,1.00000362367885
4,19,1.00000589963581
4,20,1.00000783136465
4,21,1.00000915966379
4,22,1.00000970593053
4,23,1.00000936127807
5,0,0.999999059197799
5,1,0.999999127758432
5,2,0.999999282573304
5,3,0.999999519753596
5,4,0.999999817378644
5,5,1.00000013268108
5,6,1.00000042447973
5,7,1.00000066696726
5,8,1.00000083987524
5,9,1.00000093459717
5,10,1.00000096059415
5,11,1.00000092814545
5,12,1.0000008416848
5,13,1.00000070290185
5,14,1.00000052053423
5,15,1.00000031813517
5,16,1.00000011928045
5,17,0.999999926121137
5,18,0.999999726994838
5,19,0.999999518909528
5,20,0.99999932447625
5,21,0.999999170514186
5,22,0.999999077247902
5,23,0.999999059197799
6,0,0.999998412318458
6,1,0.999998013206529
6,2,0.999997794171546
6,3,0.999997756689668
6,4,0.999997881701285
6,5,0.999998126405289
6,6,0.999998455010685
6,7,0.999998878353337
6,8,0.999999422802077
6,9,1.00000007414765
6,10,1.00000075525955
6,11,1.00000138593885
6,12,1.0000019046033
6,13,1.00000225869457
6,14,1.00000241943993
6,15,1.00000240783036
6,16,1.00000224977348
6,17,1.00000195548907
6,18,1.00000152508586
6,19,1.00000096861919
6,20,1.00000032524099
6,21,0.999999640280721
6,22,0.999998976619142
6,23,0.999998412318458
7,0,1.00029252897571
7,1,1.00017497993854
7,2,0.999839940887327
7,3,0.999570793289826
7,4,0.999490230397896
7,5,0.99953517299742
7,6,0.999648018263819
7,7,0.999859713570014
7,8,1.00023039622714
7,9,1.00072459416641
7,10,1.00115859287344
7,11,1.00135558890728
7,12,1.00129493718416
7,13,1.00103046464851
7,14,1.00061717806487
7,15,1.00011159656346
7,16,0.999573554106259
7,17,0.999099205782602
7,18,0.998808105767484
7,19,0.998786434654697
7,20,0.999023250311938
7,21,0.999482968860669
7,22,0.999999224584823
7,23,1.00029252897571
