wday,hour,N
1,0,0.99998731784921
1,1,0.999981277336292
1,2,0.999976941884772
1,3,0.999974598877922
1,4,0.999974303508336
1,5,0.999975842531768
1,6,0.999978984016
1,7,0.999983475129181
1,8,0.999989055445408
1,9,0.999995444826505
1,10,1.00000233259157
1,11,1.00000936917963
1,12,1.00001591712161
1,13,1.00002120317885
1,14,1.00002470101796
1,15,1.00002640383842
1,16,1.00002636869822
1,17,1.00002463452136
1,18,1.00002122858829
1,19,1.00001623354641
1,20,1.00000989186738
1,21,1.00000249328817
1,22,0.999994663307526
1,23,0.99998731784921
2,0,1.00000324411344
2,1,1.00000204924955
2,2,1.00000064208305
2,3,0.999999193566508
2,4,0.99999784234135
2,5,0.999996689693897
2,6,0.999995830072691
2,7,0.999995331307823
2,8,0.999995250835193
2,9,0.999995577655062
2,10,0.999996194706842
2,11,0.999996982091796
2,12,0.999997869827609
2,13,0.999998811791694
2,14,0.99999977109596
2,15,1.00000072990963
2,16,1.0000016718094
2,17,1.00000256883798
2,18,1.00000338557382
2,19,1.00000406356419
2,20,1.00000447846393
2,21,1.00000449888543
2,22,1.00000407840972
2,23,1.00000324411344
3,0,0.999790397946122
3,1,0.999886534787343
3,2,0.999994359712189
3,3,1.00011424894587
3,4,1.00023932093247
3,5,1.00035430335827
3,6,1.00044465031616
3,7,1.00050249608427
3,8,1.00052233126227
3,9,1.00050068850553
3,10,1.00043726204163
3,11,1.00033307654293
3,12,1.00019756281535
3,13,1.00004416964839
3,14,0.999887885774088
3,15,0.999746877410469
3,16,0.999638748359427
3,17,0.99956991315021
3,18,0.999539565801661
3,19,0.999545161687128
3,20,0.999579501041861
3,21,0.999634713842614
3,22,0.999705832087626
3,23,0.999790397946122
4,0,1.00014473228182
4,1,1.00016948496461
4,2,1.00018119027331
4,3,1.00017775833418
4,4,1.00015903287888
4,5,1.00012709309019
4,6,1.0000844009081
4,7,1.00003486327048
4,8,0.999982881642742
4,9,0.999932388960558
4,10,0.999886591156725
4,11,0.999848656955198
4,12,0.999821956235352
4,13,0.999809941757796
4,14,0.999813948821962
4,15,0.999830871177247
4,16,0.999857165386653
4,17,0.999890707235882
4,18,0.99993028784172
4,19,0.999974418306487
4,20,1.0000207603724
4,21,1.00006678882241
4,22,1.00010934704347
4,23,1.00014473228182
5,0,1.00051552923187
5,1,1.00050199871402
5,2,1.00044994414153
5,3,1.00037091784266
5,4,1.00027396466153
5,5,1.00016523052698
5,6,1.00005016029967
5,7,0.999931179473217
5,8,0.999809733072993
5,9,0.999691416863177
5,10,0.999588261886619
5,11,0.99951208157148
5,12,0.999468564816742
5,13,0.999460473270227
5,14,0.999489473532276
5,15,0.999554973609605
5,16,0.999655805967733
5,17,0.999787418521658
5,18,0.999943071592687
5,19,1.00011199244603
5,20,1.00027191192147
5,21,1.00039913411133
5,22,1.00048123269264
5,23,1.00051552923187
6,0,0.999999224810859
6,1,0.999999287242912
6,2,0.999999423232683
6,3,0.999999594670578
6,4,0.999999775467779
6,5,0.999999953432742
6,6,1.00000011827227
6,7,1.00000026598393
6,8,1.00000039474696
6,9,1.00000050242651
6,10,1.0000005863975
6,11,1.00000064382854
6,12,1.00000067058446
6,13,1.00000066190873
6,14,1.00000061309099
6,15,1.00000051952576
6,16,1.00000037759694
6,17,1.00000019503598
6,18,0.999999986896442
6,19,0.999999769452047
6,20,0.999999562135297
6,21,0.999999385188632
6,22,0.99999926326059
6,23,0.999999224810859
7,0,1.00000113305518
7,1,1.00000073246844
7,2,1.00000028960251
7,3,0.999999872825954
7,4,0.999999518552155
7,5,0.999999226250943
7,6,0.999998993914551
7,7,0.999998822782464
7,8,0.999998715272429
7,9,0.999998676766009
7,10,0.999998717236912
7,11,0.999998844165497
7,12,0.999999042093519
7,13,0.999999284689083
7,14,0.99999955612824
7,15,0.999999862763459
7,16,1.00000021183154
7,17,1.00000058838801
7,18,1.00000096316805
7,19,1.00000129686881
7,20,1.00000152199906
7,21,1.00000156923935
7,22,1.00000142688265
7,23,1.00000113305518
