wday,hour,N
1,0,1.00000690830575
1,1,1.00000801096075
1,2,1.00000838541796
1,3,1.00000794326401
1,4,1.00000672825334
1,5,1.00000493694023
1,6,1.00000277711868
1,7,1.00000047184845
1,8,0.999998248617846
1,9,0.999996282209649
1,10,0.999994665704815
1,11,0.99999347701186
1,12,0.999992729359544
1,13,0.999992405154931
1,14,0.99999249023361
1,15,0.999992978019113
1,16,0.999993862300924
1,17,0.999995130015587
1,18,0.99999676365205
1,19,0.999998719388339
1,20,1.00000087793092
1,21,1.00000310306454
1,22,1.00000519692137
1,23,1.00000690830575
2,0,1.00000464263561
2,1,1.00000427932675
2,2,1.00000358161065
2,3,1.00000257390202
2,4,1.00000132859589
2,5,0.999999973557532
2,6,0.99999862909776
2,7,0.999997355964468
2,8,0.999996194848088
2,9,0.999995225371545
2,10,0.99999458753535
2,11,0.999994412514577
2,12,0.999994720148113
2,13,0.99999547693641
2,14,0.999996609222613
2,15,0.999997959825767
2,16,0.999999365679133
2,17,1.00000071755579
2,18,1.00000194097602
2,19,1.00000297383921
2,20,1.00000378798798
2,21,1.00000436076996
2,22,1.00000465946317
2,23,1.00000464263561
3,0,0.999686163601201
3,1,0.999675749858372
3,2,0.999687646309216
3,3,0.999721745021781
3,4,0.999775290271233
3,5,0.999842465205879
3,6,0.999917864274918
3,7,0.999999337609503
3,8,1.00008582379173
3,9,1.00017366050279
3,10,1.0002551522661
3,11,1.00032241318943
3,12,1.00036880043535
3,13,1.00038827229787
3,14,1.0003761470611
3,15,1.00033058724985
3,16,1.00025103536671
3,17,1.000147650274
3,18,1.00003750159821
3,19,0.999934769995187
3,20,0.999844994520502
3,21,0.999772096048984
3,22,0.999718669648883
3,23,0.999686163601201
4,0,0.9999988983241
4,1,0.999999327364585
4,2,0.999999840021919
4,3,1.00000036180445
4,4,1.00000083450554
4,5,1.00000121874577
4,6,1.00000148220035
4,7,1.00000162615168
4,8,1.00000166350899
4,9,1.0000016038039
4,10,1.00000145131451
4,11,1.00000121027796
4,12,1.00000088819505
4,13,1.00000049419425
4,14,1.0000000489974
4,15,0.9999995976174
4,16,0.999999186717893
4,17,0.999998846594748
4,18,0.99999859697798
4,19,0.999998451427889
4,20,0.999998406263806
4,21,0.99999845567791
4,22,0.999998610987799
4,23,0.9999988983241
5,0,0.999993692409411
5,1,0.99999234921741
5,2,0.999991547019944
5,3,0.999991324004288
5,4,0.999991663947947
5,5,0.999992487725008
5,6,0.999993723800929
5,7,0.999995362727458
5,8,0.999997415690429
5,9,0.999999836907254
5,10,1.00000249226069
5,11,1.00000522218868
5,12,1.00000772540063
5,13,1.00000963358961
5,14,1.00001067059447
5,15,1.00001075435649
5,16,1.00000984338933
5,17,1.00000808373486
5,18,1.00000574241469
5,19,1.00000308223896
5,20,1.00000034810332
5,21,0.999997777320537
5,22,0.999995528548229
5,23,0.999993692409411
6,0,0.99996686638664
6,1,0.999974713861947
6,2,0.999983887776576
6,3,0.999994003526373
6,4,1.00000479201322
6,5,1.00001611767611
6,6,1.00002768519222
6,7,1.00003826363499
6,8,1.00004630327413
6,9,1.00005064125103
6,10,1.00005071486434
6,11,1.00004613992089
6,12,1.00003753988326
6,13,1.00002601895413
6,14,1.00001271952873
6,15,0.999998857886382
6,16,0.999985640899219
6,17,0.999974057929789
6,18,0.999964957832348
6,19,0.999959008306832
6,20,0.999956362689284
6,21,0.999957061877488
6,22,0.999960778447442
6,23,0.99996686638664
7,0,1.0000112199733
7,1,1.00001646328705
7,2,1.00002029173567
7,3,1.000022269316
7,4,1.00002226564819
7,5,1.00002050368513
7,6,1.00001724703594
7,7,1.00001287667488
7,8,1.00000781332216
7,9,1.00000241441566
7,10,0.999996939242232
7,11,0.999991639419886
7,12,0.999986772715503
7,13,0.999982600005234
7,14,0.999979410929742
7,15,0.999977555410935
7,16,0.999977366791231
7,17,0.999978897437132
7,18,0.999982018389435
7,19,0.999986546950099
7,20,0.999992154531618
7,21,0.999998479438996
7,22,1.00000503367068
7,23,1.0000112199733
