wday,hour,N
1,0,0.904515610091972
1,1,0.819125843984302
1,2,0.730411179784668
1,3,0.706185874339366
1,4,0.767929851015209
1,5,0.883555673916797
1,6,1.0174723644098
1,7,1.13118129782347
1,8,1.18559936263522
1,9,1.16722275959567
1,10,1.10219719655091
1,11,1.02183312120763
1,12,0.97137094207809
1,13,1.00241164862131
1,14,1.12076992110814
1,15,1.23616086635689
1,16,1.25455649203033
1,17,1.17908526221128
1,18,1.07554233180839
1,19,0.995933163393629
1,20,0.949592020524668
1,21,0.936966397022872
1,22,0.935865209397413
1,23,0.904515610091972
2,0,0.812673603632385
2,1,0.785347273003654
2,2,0.764260526572119
2,3,0.770925352689597
2,4,0.81403275324425
2,5,0.887451322280639
2,6,0.982151124298495
2,7,1.07750311093192
2,8,1.1490585238508
2,9,1.18512366332583
2,10,1.19378144572068
2,11,1.184893239394
2,12,1.16893381070731
2,13,1.15663676749761
2,14,1.15327018909157
2,15,1.15263717648932
2,16,1.14686781249821
2,17,1.12542571052479
2,18,1.07606430216538
2,19,0.996588892169086
2,20,0.913801533320495
2,21,0.858117099641856
2,22,0.83178116331761
2,23,0.812673603632385
3,0,0.781462335998893
3,1,0.75654644787185
3,2,0.751894117822145
3,3,0.77655644891582
3,4,0.831382855121606
3,5,0.907740735810426
3,6,0.995695259140322
3,7,1.08098027213901
3,8,1.14793533028049
3,9,1.1875864467487
3,10,1.20132598747572
3,11,1.19269368516856
3,12,1.17520115756955
3,13,1.16704099240017
3,14,1.17436325481227
3,15,1.17800345525415
3,16,1.15728405876829
3,17,1.11099367218041
3,18,1.05047820356466
3,19,0.985798971860472
3,20,0.922720076503458
3,21,0.866118650781282
3,22,0.818735247812849
3,23,0.781462335998893
4,0,0.835361445787817
4,1,0.817983956163231
4,2,0.818581762151965
4,3,0.841599462139006
4,4,0.88801714777685
4,5,0.954809576813969
4,6,1.03647044328777
4,7,1.11485862229321
4,8,1.16766043367197
4,9,1.18574959591782
4,10,1.18044713102679
4,11,1.16401211918309
4,12,1.14218470640433
4,13,1.11759343187813
4,14,1.09237549533673
4,15,1.06767790620976
4,16,1.04437195324346
4,17,1.02157310691603
4,18,0.997264380719721
4,19,0.969737585830824
4,20,0.93822709958562
4,21,0.902357036521338
4,22,0.86572415535276
4,23,0.835361445787817
5,0,0.840932521174627
5,1,0.829637927293272
5,2,0.809997650873758
5,3,0.796808667459563
5,4,0.803747268261789
5,5,0.843194115618872
5,6,0.922253866530653
5,7,1.01891207062722
5,8,1.10129561944609
5,9,1.15338669639115
5,10,1.18375894105195
5,11,1.20262256536877
5,12,1.21638512707823
5,13,1.22959692159212
5,14,1.23967172513897
5,15,1.22908146866507
5,16,1.18040927812698
5,17,1.09940270573818
5,18,1.0067525664796
5,19,0.921876502616065
5,20,0.859813387729378
5,21,0.833667555087474
5,22,0.835862330475607
5,23,0.840932521174627
6,0,0.845402995128327
6,1,0.847753374166354
6,2,0.837939764342092
6,3,0.828286153253777
6,4,0.832226671007503
6,5,0.864478889124946
6,6,0.934552287181312
6,7,1.02241335505506
6,8,1.09797371732047
6,9,1.1440693180975
6,10,1.1635847799202
6,11,1.16236020177353
6,12,1.1560107840641
6,13,1.16471871042941
6,14,1.19335184031995
6,15,1.21460372995543
6,16,1.19917727323514
6,17,1.14173046830762
6,18,1.05238190481987
6,19,0.947170543220567
6,20,0.858424390732458
6,21,0.819348623644851
6,22,0.826637229771198
6,23,0.845402995128327
7,0,0.852012160397236
7,1,0.834223938021128
7,2,0.83052405754885
7,3,0.844568150270023
7,4,0.875216223573278
7,5,0.915784039595409
7,6,0.959575945799745
7,7,1.00156057776016
7,8,1.03733644335463
7,9,1.06558018514864
7,10,1.08973865407305
7,11,1.11323445007007
7,12,1.13603878174794
7,13,1.15646481857606
7,14,1.17084007471111
7,15,1.17134940538654
7,16,1.15052319079611
7,17,1.11097253829132
7,18,1.06181082453072
7,19,1.01083989016319
7,20,0.961777135977137
7,21,0.917569965294702
7,22,0.8804463885157
7,23,0.852012160397236
