wday,hour,N
1,0,0.680973850391654
1,1,0.545262533275469
1,2,0.474147718767185
1,3,0.490764216127859
1,4,0.589869867712837
1,5,0.733415759702084
1,6,0.882364426675562
1,7,1.00237274611878
1,8,1.06132312084458
1,9,1.06271350901407
1,10,1.06524343988135
1,11,1.12249191972404
1,12,1.20966104758337
1,13,1.26480792918885
1,14,1.26323215245977
1,15,1.25881339518673
1,16,1.30840566824091
1,17,1.38841453632812
1,18,1.42336854504392
1,19,1.36203460828077
1,20,1.22538973665266
1,21,1.04709532311881
1,22,0.856860099288965
1,23,0.680973850391654
2,0,0.708176760703028
2,1,0.623908094425412
2,2,0.577423358801316
2,3,0.57025080769903
2,4,0.604169435914265
2,5,0.681248121107818
2,6,0.799284161129961
2,7,0.932082003802311
2,8,1.04539855901237
2,9,1.12258827730632
2,10,1.17429477767629
2,11,1.21299159230093
2,12,1.247042093435
2,13,1.28281380543271
2,14,1.32084482072384
2,15,1.34947423921885
2,16,1.35603989429086
2,17,1.33409670851717
2,18,1.28121268147883
2,19,1.19706616704053
2,20,1.08721367023663
2,21,0.95865962683898
2,22,0.825543582204537
2,23,0.708176760703028
3,0,0.688664013708404
3,1,0.574776768972583
3,2,0.51777552875985
3,3,0.5441555271965
3,4,0.649605057042999
3,5,0.794196349017085
3,6,0.939085557601652
3,7,1.0625958078301
3,8,1.14918529706521
3,9,1.1933429173615
3,10,1.20509585000492
3,11,1.19638216553719
3,12,1.18370054762296
3,13,1.1856620493472
3,14,1.21074910924658
3,15,1.24617639762489
3,16,1.27662381105187
3,17,1.28843613409536
3,18,1.26903606161711
3,19,1.20963803923586
3,20,1.11231201119218
3,21,0.981641153583984
3,22,0.832499831575624
3,23,0.688664013708404
4,0,0.661738927186738
4,1,0.565339840291504
4,2,0.538154901674824
4,3,0.562026790896527
4,4,0.627690328089428
4,5,0.736160582456823
4,6,0.883091790819344
4,7,1.03093617278122
4,8,1.13109591212373
4,9,1.16450833708554
4,10,1.15790821251123
4,11,1.14091360208823
4,12,1.13475403456398
4,13,1.15658079448567
4,14,1.21085776531214
4,15,1.27549504121409
4,16,1.32604736982806
4,17,1.34955787417127
4,18,1.34047987343058
4,19,1.29173793867731
4,20,1.19150385038901
4,21,1.02922324841315
4,22,0.832457884322875
4,23,0.661738927186739
5,0,0.678071132463362
5,1,0.541762772959299
5,2,0.448595149731781
5,3,0.427819196324885
5,4,0.489827504615383
5,5,0.623210441492185
5,6,0.810856181862422
5,7,1.01054095927692
5,8,1.17163245957656
5,9,1.26277765382667
5,10,1.28251999105761
5,11,1.23744595874635
5,12,1.17759340547665
5,13,1.17345954404434
5,14,1.25322697380074
5,15,1.35607704859158
5,16,1.4141839852164
5,17,1.40854352618094
5,18,1.35164833482339
5,19,1.25568170019569
5,20,1.13042693614947
5,21,0.985295922096787
5,22,0.830732089027223
5,23,0.678071132463362
6,0,0.781937099098341
6,1,0.694428072823784
6,2,0.650716143302851
6,3,0.645762281853307
6,4,0.671126723720379
6,5,0.714438095830504
6,6,0.764566889331281
6,7,0.818558195361692
6,8,0.876289857685172
6,9,0.937096702703676
6,10,0.999467457350398
6,11,1.06199982692624
6,12,1.1247350073578
6,13,1.18839743914854
6,14,1.25288508498481
6,15,1.3163538956216
6,16,1.3755628948856
6,17,1.41358177776694
6,18,1.40465882095496
6,19,1.3332602320608
6,20,1.21366757184555
6,21,1.06569730202145
6,22,0.912875528266006
6,23,0.781937099098341
7,0,0.85309401784463
7,1,0.726730956130976
7,2,0.641589008830374
7,3,0.59509972710641
7,4,0.585344624726174
7,5,0.61115664053777
7,6,0.670039799072502
7,7,0.751827692959304
7,8,0.843669325143624
7,9,0.931630408330686
7,10,1.00010170515074
7,11,1.03721039253929
7,12,1.06190134769874
7,13,1.10770757389044
7,14,1.19071934444302
7,15,1.29025977491844
7,16,1.38145508196405
7,17,1.44446207922427
7,18,1.46268786145297
7,19,1.42430933693843
7,20,1.33106821410259
7,21,1.18804744072456
7,22,1.0167936284254
7,23,0.85309401784463
