wday,hour,N
1,0,0.783925711648995
1,1,0.686671758843341
1,2,0.604584993282586
1,3,0.609697021832413
1,4,0.71788062345677
1,5,0.880083069746347
1,6,1.04571984666951
1,7,1.17587253733474
1,8,1.23621843974926
1,9,1.22484291198943
1,10,1.19005749373774
1,11,1.17805987499916
1,12,1.1839478769408
1,13,1.17856538875009
1,14,1.15114576224481
1,15,1.12979971271901
1,16,1.14322002236197
1,17,1.16995754757244
1,18,1.15623913721246
1,19,1.0732719971972
1,20,0.965670379393408
1,21,0.888203452190038
1,22,0.842438728478499
1,23,0.783925711648995
2,0,0.823448629870991
2,1,0.789010651937093
2,2,0.74220412422281
2,3,0.723224658168449
2,4,0.757761478543669
2,5,0.854732902498892
2,6,1.01334662289372
2,7,1.18370011426951
2,8,1.29933254048492
2,9,1.32463958551406
2,10,1.27187110873803
2,11,1.16219257444852
2,12,1.05488254868765
2,13,1.02707171791624
2,14,1.10356206458802
2,15,1.19918767698487
2,16,1.22181988685424
2,17,1.1593583307255
2,18,1.05133180842401
2,19,0.936136564047925
2,20,0.846435749067521
2,21,0.811574491836132
2,22,0.819725539406259
2,23,0.823448629870991
3,0,0.768048049072592
3,1,0.716945188050937
3,2,0.662304532656426
3,3,0.672609139109031
3,4,0.768747389310806
3,5,0.916583219429956
3,6,1.07835228368427
3,7,1.21313876576628
3,8,1.27944151312988
3,9,1.26637348411994
3,10,1.2105012139464
3,11,1.15104946921334
3,12,1.11593566295604
3,13,1.12754837192149
3,14,1.18605065591331
3,15,1.24506835431556
3,16,1.25534664765556
3,17,1.20226396373844
3,18,1.09355429172545
3,19,0.948808752139414
3,20,0.820654362987645
3,21,0.763995345156143
3,22,0.7686312949285
3,23,0.768048049072592
4,0,0.757787408983832
4,1,0.726026210097532
4,2,0.716129812745059
4,3,0.737706381751796
4,4,0.793178052790446
4,5,0.876659156578217
4,6,0.979106587878837
4,7,1.07639873998217
4,8,1.13951069465899
4,9,1.15973059456856
4,10,1.15983998440084
4,11,1.16342688719971
4,12,1.17896921463592
4,13,1.20768788775097
4,14,1.24241372205571
4,15,1.25847655802285
4,16,1.2314501820927
4,17,1.16536207575925
4,18,1.08259231246924
4,19,1.0012147795
4,20,0.926036515981061
4,21,0.859449779478095
4,22,0.803059051634376
4,23,0.757787408983833
5,0,0.759671929684611
5,1,0.666921162357674
5,2,0.611641627679871
5,3,0.639461419858824
5,4,0.751423581594638
5,5,0.897026150135143
5,6,1.0272756534953
5,7,1.11768645023203
5,8,1.15267846096552
5,9,1.13981390066717
5,10,1.12251228151704
5,11,1.14139437498993
5,12,1.19035808347013
5,13,1.24105417423495
5,14,1.2704689559451
5,15,1.26706510191191
5,16,1.22265450327127
5,17,1.15118467404578
5,18,1.08087340958919
5,19,1.02945389289331
5,20,0.983815597700774
5,21,0.925996659062335
5,22,0.849896025012896
5,23,0.75967192968461
6,0,0.776231723456309
6,1,0.769017961249163
6,2,0.77753396987228
6,3,0.805730714436125
6,4,0.854300350202633
6,5,0.920167505746414
6,6,0.998590031312685
6,7,1.07667333209226
6,8,1.1388237431089
6,9,1.17754945009844
6,10,1.19792091797282
6,11,1.20595812148169
6,12,1.20663975001802
6,13,1.20442227025504
6,14,1.19959212085411
6,15,1.18369761420904
6,16,1.14798696432952
6,17,1.09301055877317
6,18,1.02532106624799
6,19,0.95244652476074
6,20,0.884432910151243
6,21,0.831382842571164
6,22,0.796337833343944
6,23,0.776231723456308
7,0,0.753577779708553
7,1,0.731343871818829
7,2,0.735627281124688
7,3,0.766879053350518
7,4,0.821920215690233
7,5,0.893375112399893
7,6,0.972482770786357
7,7,1.04403851697736
7,8,1.09081606424968
7,9,1.1086969407772
7,10,1.11388327394545
7,11,1.12304726535627
7,12,1.14271215718791
7,13,1.17452410337666
7,14,1.21403780469792
7,15,1.24409670193103
7,16,1.24692920970672
7,17,1.21622073046483
7,18,1.15305245792806
7,19,1.06279827902821
7,20,0.9628256719657
7,21,0.872171568904925
7,22,0.801365388914446
7,23,0.753577779708554
