wday,hour,N
1,0,0.749437127487675
1,1,0.702838897338719
1,2,0.688813238280098
1,3,0.709720628690692
1,4,0.763462028862851
1,5,0.842782727483474
1,6,0.939004249506506
1,7,1.03708820214406
1,8,1.1199066556422
1,9,1.17761646903287
1,10,1.21166936475926
1,11,1.2249755284238
1,12,1.2243116532182
1,13,1.21827437933218
1,14,1.21159367375354
1,15,1.20086728648562
1,16,1.18184413483953
1,17,1.15230934693758
1,18,1.11136165161078
1,19,1.05803832157243
1,20,0.991136870291728
1,21,0.909955716512722
1,22,0.823554720305827
1,23,0.749437127487675
2,0,0.770777673570349
2,1,0.747705029080175
2,2,0.741907663963084
2,3,0.771861753060342
2,4,0.840581531838943
2,5,0.933205608792226
2,6,1.0341516587195
2,7,1.12937512287278
2,8,1.2054499667891
2,9,1.2539864349385
2,10,1.27440017218678
2,11,1.26760956840582
2,12,1.24113504213475
2,13,1.20562295422905
2,14,1.1681047893676
2,15,1.12799098609049
2,16,1.08379629377662
2,17,1.0347787173208
2,18,0.980677705481178
2,19,0.92315717790759
2,20,0.869393817341962
2,21,0.827123252919439
2,22,0.796429405642574
2,23,0.770777673570349
3,0,0.734153540738713
3,1,0.728038785484052
3,2,0.737725725146787
3,3,0.767319855946641
3,4,0.820413545960486
3,5,0.90000593320205
3,6,1.00573155069154
3,7,1.11858251272202
3,8,1.21325355067265
3,9,1.27544539166843
3,10,1.3079281420167
3,11,1.31479686894413
3,12,1.29900801741578
3,13,1.26298843184858
3,14,1.21133367186662
3,15,1.15319410017521
3,16,1.09742617787808
3,17,1.04280246629843
3,18,0.981594727583295
3,19,0.910889142097715
3,20,0.841932489970999
3,21,0.787996946435793
3,22,0.75328488449661
3,23,0.734153540738713
4,0,0.759986191545617
4,1,0.73944387637673
4,2,0.73783571974249
4,3,0.767510474855968
4,4,0.830323909837885
4,5,0.916000799224614
4,6,1.01336325953744
4,7,1.10996367545977
4,8,1.19298926890024
4,9,1.25420192980115
4,10,1.29245497049746
4,11,1.3071275469779
4,12,1.29693035376596
4,13,1.26028593942404
4,14,1.20058758468959
4,15,1.13165630096719
4,16,1.06768621988649
4,17,1.01194494555868
4,18,0.960652054104155
4,19,0.911248855538157
4,20,0.865028944162983
4,21,0.823919868568006
4,22,0.788871119031845
4,23,0.759986191545617
5,0,0.761399400201351
5,1,0.766114784368113
5,2,0.778883039131834
5,3,0.814265775972702
5,4,0.878671855065463
5,5,0.969084699217826
5,6,1.07940521788317
5,7,1.18922343371539
5,8,1.27332293184562
5,9,1.31660166881304
5,10,1.31964261920395
5,11,1.28591044228824
5,12,1.23103992903232
5,13,1.17641190195543
5,14,1.13409556639946
5,15,1.09655873721782
5,16,1.05417568795776
5,17,1.0016756733077
5,18,0.936603110054371
5,19,0.8620241013018
5,20,0.796753213791802
5,21,0.761272039758567
5,22,0.755464771314924
5,23,0.761399400201351
6,0,0.766123297642295
6,1,0.757981342096802
6,2,0.772686093889072
6,3,0.808134257308759
6,4,0.862025802153145
6,5,0.931833252469454
6,6,1.01359917660363
6,7,1.09543543097565
6,8,1.16280246006436
6,9,1.2074970787841
6,10,1.23114176683631
6,11,1.2362996754055
6,12,1.2262920139573
6,13,1.20479799084774
6,14,1.17493104239721
6,15,1.13861351370877
6,16,1.09753712545579
6,17,1.05245610155709
6,18,1.00352023753476
6,19,0.951275834516326
6,20,0.89743874132813
6,21,0.844144460641134
6,22,0.797310006184391
6,23,0.766123297642296
7,0,0.771607304154061
7,1,0.750865897368635
7,2,0.750563047725937
7,3,0.775829810148092
7,4,0.826698441418739
7,5,0.897306451787388
7,6,0.980642761626531
7,7,1.06510653709239
7,8,1.13757892315023
7,9,1.18959421641801
7,10,1.21990158168849
7,11,1.22841431525147
7,12,1.21936200397461
7,13,1.19903096415571
7,14,1.17346205193053
7,15,1.14815481180592
7,16,1.12755282419199
7,17,1.10461645561754
7,18,1.06490490537886
7,19,1.0011823181714
7,20,0.92729308531849
7,21,0.860344027600469
7,22,0.80837995987044
7,23,0.771607304154061
