time,N
1,1.03138273831316
2,1.03102063834741
3,1.03066492298913
4,1.03031453393672
5,1.02996841288855
6,1.029625501543
7,1.02928474159845
8,1.02894507475328
9,1.02860544270587
10,1.02826478715461
11,1.02792204979787
12,1.02757617233403
13,1.02722609646147
14,1.02687076387857
15,1.02650911628372
16,1.0261400953753
17,1.02576264285167
18,1.02537570041123
19,1.02497820975236
20,1.02456911257342
21,1.02414735057282
22,1.02371186544892
23,1.0232615989001
24,1.02279549262475
25,1.02231248832124
26,1.02181152768797
27,1.02129155242329
28,1.02075150422561
29,1.02019032479329
30,1.01960695582472
31,1.01900033901828
32,1.01836941607234
33,1.01771312868529
34,1.01703041855552
35,1.01632022738139
36,1.01558149686128
37,1.01481316869359
38,1.01401418457669
39,1.01318348620896
40,1.01232001528877
41,1.01142271351452
42,1.01049059198325
43,1.00952390763693
44,1.00852399504008
45,1.00749222428935
46,1.00642996548136
47,1.00533858871276
48,1.0042194640802
49,1.00307396168029
50,1.00190345160969
51,1.00070930396503
52,0.999492888842956
53,0.998255576340099
54,0.9969987365531
55,0.995723739578598
56,0.994431955513231
57,0.993124754453638
58,0.991803506496456
59,0.990469581738326
60,0.989124350275885
61,0.987769182205772
62,0.986405447624625
63,0.985034516629083
64,0.983657759315785
65,0.982276545781368
66,0.980892246122472
67,0.979506230435735
68,0.978119868817796
69,0.976734531365293
70,0.975351588174864
71,0.973972409343149
72,0.972598364966785
73,0.971230825142411
74,0.969871159966667
75,0.968520739536189
76,0.967180933947617
77,0.96585311329759
78,0.964538647682746
79,0.963238907199723
80,0.961955261945159
81,0.960689082015695
82,0.959441737290258
83,0.958214380809244
84,0.957007541875697
85,0.955821638325467
86,0.954657087994398
87,0.953514308718339
88,0.952393718333137
89,0.951295734674639
90,0.950220775578692
91,0.949169258881144
92,0.948141602417841
93,0.94713822402463
94,0.94615954153736
95,0.945205972791876
96,0.944277935624026
97,0.943375847869658
98,0.942500127364618
99,0.941651191944754
100,0.940829459445913
101,0.940035347703942
102,0.939269274554688
103,0.938531657833998
104,0.93782291537772
105,0.9371434650217
106,0.936493724601787
107,0.935874111953826
108,0.935285044913666
109,0.934726941317153
110,0.934200219000135
111,0.933705295798458
112,0.93324258954797
113,0.932812518084518
114,0.932415499243949
115,0.932051950862111
116,0.93172229077485
117,0.931426936818014
118,0.93116630682745
119,0.930940818639005
120,0.930750890088526
121,0.930596939011861
122,0.930479383244856
123,0.930398587014938
124,0.930354291351642
125,0.930345835221344
126,0.930372550889371
127,0.930433770621049
128,0.930528826681702
129,0.930657051336656
130,0.930817776851236
131,0.931010335490769
132,0.931234059520579
133,0.931488281205991
134,0.931772332812332
135,0.932085546604928
136,0.932427254849102
137,0.932796789810181
138,0.93319348375349
139,0.933616668944355
140,0.9340656776481
141,0.934539842130053
142,0.935038494655537
143,0.935560967489879
144,0.936106592898404
145,0.936674703146437
146,0.937264630499304
147,0.93787570722233
148,0.938507265580841
149,0.939158637840162
150,0.93982915626562
151,0.940518153122538
152,0.941224960676242
153,0.941948911192059
154,0.942689336935313
155,0.94344557017133
156,0.944216943165436
157,0.945002788182955
158,0.945802437489214
159,0.946615223349537
160,0.947440478029251
161,0.94827753379368
162,0.949125722908151
163,0.949984378229478
164,0.950852928657717
165,0.951731004495371
166,0.952618261405091
167,0.953514355049528
168,0.954418941091332
169,0.955331675193155
170,0.956252213017648
171,0.957180210227461
172,0.958115322485244
173,0.95905720545365
174,0.960005514795328
175,0.96095990617293
176,0.961920035249106
177,0.962885557686508
178,0.963856129147785
179,0.964831405295589
180,0.965811041792571
181,0.966794694301382
182,0.967782018484672
183,0.968772670005092
184,0.969766304525294
185,0.970762577707926
186,0.971761145215642
187,0.972761662711092
188,0.973763785856925
189,0.974767170315794
190,0.975771471750349
191,0.976776345823241
192,0.977781448197121
193,0.978786434534639
194,0.979790960498446
195,0.980794681751194
196,0.981797253955533
197,0.982798332774114
198,0.983797573869587
199,0.984794632904604
200,0.985789165541815
201,0.986780827443872
202,0.987769274273424
203,0.988754161693124
204,0.989735177537397
205,0.99071226513897
206,0.991685489670621
207,0.992654917055487
208,0.993620613216705
209,0.994582644077416
210,0.995541075560756
211,0.996495973589863
212,0.997447404087877
213,0.998395432977935
214,0.999340126183175
215,1.00028154962674
216,1.00121976923175
217,1.00215485092137
218,1.00308686061872
219,1.00401586424695
220,1.00494192772918
221,1.00586511698857
222,1.00678549794824
223,1.00770313653134
224,1.008618098661
225,1.00953045026036
226,1.01044025725257
227,1.01134758556075
228,1.01225250110806
229,1.01315506981761
230,1.01405535761256
231,1.01495343041604
232,1.01584935415119
233,1.01674319474115
234,1.01763501810905
235,1.01852489017804
236,1.01941287687125
237,1.02029904411181
238,1.02118345782288
239,1.02206618392759
240,1.02294728834907
241,1.02382683701046
242,1.0247048958349
243,1.02558153074554
244,1.02645680326719
245,1.02733051102607
246,1.02820204260552
247,1.02907075140242
248,1.02993599081363
249,1.03079711423601
250,1.03165347506645
251,1.0325044267018
252,1.03334932253893
253,1.03418751597471
254,1.035018360406
255,1.03584120922968
256,1.03665541584262
257,1.03746033364167
258,1.03825531602371
259,1.0390397163856
260,1.03981288812422
261,1.04057418463643
262,1.04132295931909
263,1.04205856556908
264,1.04278035678326
265,1.0434876863585
266,1.04417990769166
267,1.04485637417963
268,1.04551643921925
269,1.04615945620741
270,1.04678477854096
271,1.04739175961678
272,1.04797975283173
273,1.04854811158268
