wday,hour,N
1,0,0.461107093428238
1,1,0.176553018011086
1,2,-0.00126406320994988
1,3,0.0860634000918276
1,4,0.440853359781618
1,5,0.884967786813953
1,6,1.24831534984411
1,7,1.46208042887187
1,8,1.49370829712326
1,9,1.37385969426782
1,10,1.23112454156539
1,11,1.186579536206
1,12,1.23473274296904
1,13,1.30986129310218
1,14,1.36635170415445
1,15,1.40153931380129
1,16,1.41733577391789
1,17,1.405984161473
1,18,1.353495320138
1,19,1.25131086736003
1,20,1.10679312475564
1,21,0.929531022137408
1,22,0.718009139967605
1,23,0.461107093428238
2,0,0.429643092769145
2,1,0.204586366894385
2,2,0.0807339024327433
2,3,0.171626464963737
2,4,0.478752442556277
2,5,0.874055898120179
2,6,1.23012815928195
2,7,1.46356188808339
2,8,1.50761568928209
2,9,1.37771215001704
2,10,1.21660422485891
2,11,1.16014091342932
2,12,1.2023556072674
2,13,1.26982948766503
2,14,1.31725935578707
2,15,1.35917378600747
2,16,1.41377997975646
2,17,1.4544677841975
2,18,1.42573626304499
2,19,1.2951466768277
2,20,1.09798504262949
2,21,0.880085808525477
2,22,0.659375922833076
2,23,0.429643092769145
3,0,0.474564066302878
3,1,0.271935854041939
3,2,0.145475942300182
3,3,0.194769258382225
3,4,0.433090256157184
3,5,0.773929410931953
3,6,1.12621917458039
3,7,1.40448967889209
3,8,1.52640230239648
3,9,1.48073519866724
3,10,1.36649449418327
3,11,1.28242664706979
3,12,1.24991298523062
3,13,1.25345845175356
3,14,1.28008469742687
3,15,1.32256736289086
3,16,1.37253628365138
3,17,1.39987865440062
3,18,1.36047514452994
3,19,1.23087359354484
3,20,1.04774358391172
3,21,0.856683018225803
3,22,0.670689874225301
3,23,0.474564066302878
4,0,0.519107548985826
4,1,0.248489611346245
4,2,0.041642951981235
4,3,0.0785598342492353
4,4,0.383814654295483
4,5,0.802302419276845
4,6,1.17953034222077
4,7,1.42043807183024
4,8,1.45225946639082
4,9,1.3002219980515
4,10,1.14141108677575
4,11,1.14065605653644
4,12,1.26170940418749
4,13,1.37280980880168
4,14,1.40235648329358
4,15,1.40614348954005
4,16,1.44785195335583
4,17,1.49637029655742
4,18,1.4594744815457
4,19,1.28786850815999
4,20,1.0586710892016
4,21,0.866419281353346
4,22,0.71278361307709
4,23,0.519107548985826
5,0,0.521165278200942
5,1,0.266780666987124
5,2,0.0914622246154221
5,3,0.14686526682144
5,4,0.446113527339873
5,5,0.842173671378869
5,6,1.19059494238581
5,7,1.41129946062958
5,8,1.44789965829165
5,9,1.32271856852967
5,10,1.18004582950153
5,11,1.15557401292652
5,12,1.23339820185043
5,13,1.32552448773283
5,14,1.37658034391458
5,15,1.40053383199976
5,16,1.41729498277927
5,17,1.41434887811908
5,18,1.35827810458508
5,19,1.23207587398069
5,20,1.06694356972151
5,21,0.900489284246919
5,22,0.730674055260491
5,23,0.521165278200942
6,0,0.465187328859868
6,1,0.174072534167411
6,2,-0.0332791335337848
6,3,0.0639615728356841
6,4,0.477571489121604
6,5,0.977640892278347
6,6,1.34883903098084
6,7,1.53274932331477
6,8,1.52655750291325
6,9,1.39062703213019
6,10,1.28316196035418
6,11,1.34436459050376
6,12,1.50463251345591
6,13,1.59482105041886
6,14,1.52761927781772
6,15,1.38861356761804
6,16,1.27758057941574
6,17,1.20617303354147
6,18,1.12920687910912
6,19,1.01786411131551
6,20,0.893129444130973
6,21,0.782090899051408
6,22,0.661627191339263
6,23,0.465187328859868
7,0,0.490075291326608
7,1,0.238465234132674
7,2,0.0825011357689211
7,3,0.164639116031901
7,4,0.47858655443251
7,5,0.846081653149853
7,6,1.10334440876622
7,7,1.22123405266168
7,8,1.21795766961909
7,9,1.14424938374651
7,10,1.1011873886351
7,11,1.17775428221026
7,12,1.33248031582278
7,13,1.46196511797963
7,14,1.50764350965421
7,15,1.5057730085491
7,16,1.50024265524281
7,17,1.48485704419838
7,18,1.42112505130921
7,19,1.28677701211052
7,20,1.10775350906503
7,21,0.916986267082658
7,22,0.718245047177743
7,23,0.490075291326608
