wday,hour,N
1,0,1.00000286357779
1,1,1.00000265430145
1,2,1.00000228410696
1,3,1.00000171873394
1,4,1.00000096507983
1,5,1.00000007762473
1,6,0.999999118783301
1,7,0.999998180537706
1,8,0.999997364746811
1,9,0.999996749144014
1,10,0.999996374052236
1,11,0.999996274861192
1,12,0.999996473339799
1,13,0.999996984497874
1,14,0.999997780484181
1,15,0.999998743651834
1,16,0.999999747772318
1,17,1.00000069829804
1,18,1.0000015211377
1,19,1.00000215947732
1,20,1.00000260522136
1,21,1.00000285970587
1,22,1.00000293728595
1,23,1.00000286357779
2,0,0.999999239636802
2,1,0.999999463539973
2,2,0.99999975859558
2,3,1.00000009027958
2,4,1.00000042277558
2,5,1.00000071877312
2,6,1.00000094484156
2,7,1.00000108972619
2,8,1.00000114992339
2,9,1.00000112444165
2,10,1.00000101617116
2,11,1.00000082978079
2,12,1.0000005814131
2,13,1.00000029270902
2,14,0.999999989703155
2,15,0.999999707573125
2,16,0.999999480209647
2,17,0.999999313160041
2,18,0.99999919368882
2,19,0.999999112000669
2,20,0.999999067634375
2,21,0.999999062506734
2,22,0.999999111279155
2,23,0.999999239636802
3,0,0.999891867156922
3,1,1.00001554559324
3,2,1.00014152882399
3,3,1.00025503218604
3,4,1.0003443715853
3,5,1.00040144751136
3,6,1.00041990658552
3,7,1.00040204893587
3,8,1.0003532129443
3,9,1.00028053486576
3,10,1.0001939329768
3,11,1.00010297266804
3,12,1.00001251626359
3,13,0.999925183255955
3,14,0.999843567998835
3,15,0.999770241094202
3,16,0.999707852074802
3,17,0.999660002811341
3,18,0.999630909674601
3,19,0.999624887418285
3,20,0.999646504339177
3,21,0.999700050843511
3,22,0.999784015235641
3,23,0.999891867156922
4,0,0.99999971456051
4,1,0.999999859479958
4,2,1.00000001569668
4,3,1.0000001572985
4,4,1.00000026947926
4,5,1.00000035027247
4,6,1.0000003998989
4,7,1.00000042681607
4,8,1.00000044220117
4,9,1.00000044860348
4,10,1.00000043519458
4,11,1.00000039062983
4,12,1.00000030860381
4,13,1.00000018527751
4,14,1.00000002711532
4,15,0.999999862156689
4,16,0.999999719641238
4,17,0.999999611178648
4,18,0.999999537004864
4,19,0.999999497564838
4,20,0.999999494450042
4,21,0.999999529390471
4,22,0.999999602924649
4,23,0.99999971456051
5,0,0.999491493350955
5,1,0.999599844389046
5,2,0.999745291413143
5,3,0.999906446197724
5,4,1.00006689709904
5,5,1.00021598592495
5,6,1.00034407040026
5,7,1.00044539964807
5,8,1.00051559717558
5,9,1.00055158162395
5,10,1.00055227698674
5,11,1.00051717168593
5,12,1.00044886669065
5,13,1.00035145879832
5,14,1.00023092790603
5,15,1.00009718359774
5,16,0.999960264802491
5,17,0.999825961834165
5,18,0.999697326830278
5,19,0.999580220479534
5,20,0.999488713695433
5,21,0.999438019169615
5,22,0.999437506949392
5,23,0.999491493350955
6,0,1.00039095570444
6,1,1.00038416653188
6,2,1.00035359535254
6,3,1.00030137368625
6,4,1.00022759633571
6,5,1.00013000344464
6,6,1.00000853373153
6,7,0.999876162442259
6,8,0.999750345222662
6,9,0.999645442049703
6,10,0.999571007560691
6,11,0.99953519056028
6,12,0.999538257962265
6,13,0.999576706783209
6,14,0.999645185434609
6,15,0.9997345143487
6,16,0.999835352583962
6,17,0.999942086602338
6,18,1.0000515059087
6,19,1.00015871352552
6,20,1.00025384600933
6,21,1.00032647776507
6,22,1.00037202474929
6,23,1.00039095570444
7,0,1.00000019170407
7,1,1.00000025912374
7,2,1.0000003034114
7,3,1.00000031180593
7,4,1.00000028444977
7,5,1.0000002364032
7,6,1.00000018183797
7,7,1.00000012530402
7,8,1.00000006798918
7,9,1.00000001005031
7,10,0.999999950051457
7,11,0.999999886807666
7,12,0.999999822215536
7,13,0.999999759658294
7,14,0.99999970530863
7,15,0.999999671169762
7,16,0.999999669080828
7,17,0.999999700438857
7,18,0.999999759902794
7,19,0.999999840784607
7,20,0.999999932844658
7,21,1.0000000254588
7,22,1.00000011249444
7,23,1.00000019170407
