wday,hour,N
1,0,0.999795140356812
1,1,0.999771789794881
1,2,0.999762012750547
1,3,0.999767418674496
1,4,0.999789194440719
1,5,0.999828038380131
1,6,0.999883754377696
1,7,0.999951293545023
1,8,1.00002392357841
1,9,1.00009512780827
1,10,1.00015872642323
1,11,1.0002089595645
1,12,1.00024317237953
1,13,1.00026019557707
1,14,1.00025965974097
1,15,1.00024285366882
1,16,1.0002111520722
1,17,1.00016450112911
1,18,1.00010192870943
1,19,1.00002576039452
1,20,0.999947851837598
1,21,0.999881308399248
1,22,0.99983109603997
1,23,0.999795140356812
2,0,1.00000266857691
2,1,1.00000261167953
2,2,1.00000232697162
2,3,1.00000177651112
2,4,1.00000100338706
2,5,1.00000014436893
2,6,0.999999330552641
2,7,0.999998632086032
2,8,0.999998097427655
2,9,0.999997744952632
2,10,0.99999754643973
2,11,0.999997472056811
2,12,0.999997511010984
2,13,0.999997661642857
2,14,0.999997931150252
2,15,0.999998345187308
2,16,0.999998926260281
2,17,0.999999633265044
2,18,1.00000038406514
2,19,1.00000110243206
2,20,1.00000173109907
2,21,1.00000221750778
2,22,1.00000253279165
2,23,1.00000266857691
3,0,0.99998312946167
3,1,1.00004879034935
3,2,1.00010767356133
3,3,1.00016094972237
3,4,1.00020886302298
3,5,1.00025058659824
3,6,1.00028428817214
3,7,1.00030284333841
3,8,1.00029736555192
3,9,1.00026362472397
3,10,1.00020461113639
3,11,1.00012425069307
3,12,1.00002896707833
3,13,0.999926387277524
3,14,0.999826123156986
3,15,0.999741933491061
3,16,0.999687266873882
3,17,0.999665895835267
3,18,0.999675349099996
3,19,0.999711873177737
3,20,0.999768325561016
3,21,0.999836992599748
3,22,0.999910780054948
3,23,0.99998312946167
4,0,1.00000030954583
4,1,1.00000038204785
4,2,1.00000040897634
4,3,1.00000039181072
4,4,1.00000033673062
4,5,1.00000025534963
4,6,1.00000015868919
4,7,1.00000005276342
4,8,0.999999941920726
4,9,0.999999835010357
4,10,0.99999974786055
4,11,0.999999694997356
4,12,0.999999675837459
4,13,0.99999968258226
4,14,0.999999705756812
4,15,0.999999732463923
4,16,0.999999750894937
4,17,0.999999766904852
4,18,0.99999979774054
4,19,0.999999856825166
4,20,0.999999946036628
4,21,1.00000006433653
4,22,1.00000019537247
4,23,1.00000030954583
5,0,0.99929926174094
5,1,0.99919089251543
5,2,0.999161775812892
5,3,0.999191962698262
5,4,0.999267128150994
5,5,0.999379448986801
5,6,0.999522034079363
5,7,0.99969118117626
5,8,0.999884181551514
5,9,1.00009142361033
5,10,1.00029259458603
5,11,1.00046895109467
5,12,1.00062152387709
5,13,1.00076068323263
5,14,1.0008822157253
5,15,1.0009512040792
5,16,1.00093142450974
5,17,1.00081640916682
5,18,1.00061889218118
5,19,1.00035651295809
5,20,1.00006010059834
5,21,0.999762848864474
5,22,0.999498087062712
5,23,0.99929926174094
6,0,1.00025783062898
6,1,1.00010584638113
6,2,0.999934001725139
6,3,0.999752365203571
6,4,0.999580740773942
6,5,0.999450187556664
6,6,0.999386578396124
6,7,0.999383257000903
6,8,0.999422334617705
6,9,0.999490476919345
6,10,0.999581426537767
6,11,0.999690303967864
6,12,0.999818337597684
6,13,0.999969610935916
6,14,1.00013887846024
6,15,1.00030129407588
6,16,1.00043094244368
6,17,1.00051816946007
6,18,1.00056381279499
6,19,1.00056953613286
6,20,1.00053887623091
6,21,1.00047560717185
6,22,1.00038175435781
6,23,1.00025783062898
7,0,1.00000005442368
7,1,0.999999699312553
7,2,0.999999377334976
7,3,0.999999100260507
7,4,0.9999988848743
7,5,0.999998753760063
7,6,0.999998727277752
7,7,0.999998811536449
7,8,0.999999007312899
7,9,0.99999929269262
7,10,0.999999610597441
7,11,0.999999906340166
7,12,1.0000001682443
7,13,1.00000040512633
7,14,1.00000062306351
7,15,1.00000082212417
7,16,1.00000100005503
7,17,1.00000113641051
7,18,1.00000119901446
7,19,1.00000116186464
7,20,1.00000101728088
7,21,1.00000076249655
7,22,1.00000042417252
7,23,1.00000005442368
