wday,hour,N
1,0,0.999457060382565
1,1,0.999423158633321
1,2,0.999442919641947
1,3,0.999507427183667
1,4,0.999606973814257
1,5,0.999730937356651
1,6,0.999868966580485
1,7,1.00001251151826
1,8,1.00015366910781
1,9,1.00028577934582
1,10,1.00040410799565
1,11,1.00050335492831
1,12,1.00057241027341
1,13,1.00059743930432
1,14,1.00057200235763
1,15,1.0005052029803
1,16,1.00040777991997
1,17,1.00028672907349
1,18,1.00014663267084
1,19,0.99999310399009
1,20,0.99983483789237
1,21,0.999681418869221
1,22,0.999548515797066
1,23,0.999457060382565
2,0,0.999984491515773
2,1,0.999992675310508
2,2,1.00000168346536
2,3,1.00001074037004
2,4,1.00001909862512
2,5,1.00002604344587
2,6,1.00003093036739
2,7,1.00003349824748
2,8,1.00003362151717
2,9,1.00003131354402
2,10,1.00002680283989
2,11,1.00002035795915
2,12,1.00001241848426
2,13,1.00000350621375
2,14,0.999994250213123
2,15,0.999985503433146
2,16,0.999978118428
2,17,0.999972615419685
2,18,0.999969300098837
2,19,0.99996835157896
2,20,0.999969595152752
2,21,0.999972796914129
2,22,0.999977795339823
2,23,0.999984491515773
3,0,0.999999735836184
3,1,0.99999968552902
3,2,0.999999661359056
3,3,0.999999671874612
3,4,0.999999717141535
3,5,0.99999978741905
3,6,0.999999872901493
3,7,0.999999966476875
3,8,1.00000006194596
3,9,1.00000015168904
3,10,1.00000022588324
3,11,1.0000002756592
3,12,1.00000030122517
3,13,1.00000030711392
3,14,1.00000029717569
3,15,1.00000027377356
3,16,1.00000023885755
3,17,1.00000019175266
3,18,1.00000013009253
3,19,1.00000005374701
3,20,0.999999969099534
3,21,0.999999883646364
3,22,0.999999803964576
3,23,0.999999735836184
4,0,1.000000114167
4,1,1.00000035671364
4,2,1.00000057525065
4,3,1.00000076791175
4,4,1.00000092219748
4,5,1.00000101331532
4,6,1.0000010199283
4,7,1.00000094386731
4,8,1.00000079505772
4,9,1.00000058584984
4,10,1.00000033234015
4,11,1.00000005141805
4,12,0.999999763710787
4,13,0.999999491619423
4,14,0.999999256142797
4,15,0.999999075316307
4,16,0.999998966153924
4,17,0.999998938133401
4,18,0.999998995864006
4,19,0.999999137488562
4,20,0.999999342782227
4,21,0.999999588325666
4,22,0.999999852278684
4,23,1.000000114167
5,0,0.999998845476422
5,1,0.999993860300431
5,2,0.999989149351658
5,3,0.999985156315545
5,4,0.999982260900504
5,5,0.999980768850771
5,6,0.999980924332801
5,7,0.99998264999695
5,8,0.99998575527662
5,9,0.999989962863672
5,10,0.999994861174519
5,11,1.00000003023706
5,12,1.00000507519136
5,13,1.00000961361548
5,14,1.00001333829744
5,15,1.00001609958567
5,16,1.00001776956839
5,17,1.00001824242256
5,18,1.00001742666108
5,19,1.00001531579968
5,20,1.00001214718213
5,21,1.00000819907061
5,22,1.00000370205223
5,23,0.999998845476422
6,0,1.00004878958811
6,1,1.0000444042448
6,2,1.000038545794
6,3,1.00003177516218
6,4,1.00002411246813
6,5,1.00001495260015
6,6,1.00000378647498
6,7,0.999990837242403
6,8,0.999976592774492
6,9,0.999962151150967
6,10,0.999949555877244
6,11,0.999940810850904
6,12,0.999936959542872
6,13,0.999938584681541
6,14,0.999945820988741
6,15,0.999957869632431
6,16,0.999973766787415
6,17,0.999991997113655
6,18,1.0000106893713
6,19,1.00002788294035
6,20,1.00004137715676
6,21,1.000049047238
6,22,1.00005090073047
6,23,1.00004878958811
7,0,1.0000010376584
7,1,1.00000210181158
7,2,1.0000029438752
7,3,1.00000346498631
7,4,1.00000363116289
7,5,1.00000348343213
7,6,1.00000307210774
7,7,1.00000247608744
7,8,1.00000178364551
7,9,1.00000104943397
7,10,1.00000027597492
7,11,0.999999466926049
7,12,0.999998670576258
7,13,0.99999795637765
7,14,0.999997374396986
7,15,0.999996933775145
7,16,0.999996641015699
7,17,0.99999653187065
7,18,0.999996660948046
7,19,0.999997069319822
7,20,0.99999775821655
7,21,0.999998717521147
7,22,0.999999861221516
7,23,1.0000010376584
