wday,hour,N
1,0,1.00007044716663
1,1,1.00008575416459
1,2,1.00009576631218
1,3,1.00010072667218
1,4,1.00010009541199
1,5,1.00009242758968
1,6,1.00007652527266
1,7,1.00005285484518
1,8,1.00002248558816
1,9,0.999987945776791
1,10,0.999954024227052
1,11,0.999925391886591
1,12,0.999904239326754
1,13,0.999891569755221
1,14,0.999887641743095
1,15,0.999891167635894
1,16,0.999900763728224
1,17,0.999916193078639
1,18,0.999937957592099
1,19,0.999965574207454
1,20,0.999995691133006
1,21,1.00002452659283
1,22,1.00004978312646
1,23,1.00007044716663
2,0,1.00000730982968
2,1,1.00000573080525
2,2,1.00000375593812
2,3,1.00000152035915
2,4,0.999999158606064
2,5,0.999996804530871
2,6,0.999994596451636
2,7,0.999992697890935
2,8,0.999991280481427
2,9,0.999990476737806
2,10,0.999990358528277
2,11,0.999990979322615
2,12,0.999992287906925
2,13,0.999994182945545
2,14,0.999996530152293
2,15,0.99999912678853
2,16,1.00000176125478
2,17,1.00000421914466
2,18,1.00000628428061
2,19,1.00000778000476
2,20,1.00000864342484
2,21,1.00000883501615
2,22,1.00000836976941
2,23,1.00000730982968
3,0,1.00000004303436
3,1,1.00000009079755
3,2,1.00000013684871
3,3,1.000000184155
3,4,1.00000022734766
3,5,1.00000025142073
3,6,1.00000024375735
3,7,1.00000020811343
3,8,1.00000015390779
3,9,1.00000008882273
3,10,1.00000001784022
3,11,0.999999945934867
3,12,0.999999879867728
3,13,0.999999827236879
3,14,0.999999793227899
3,15,0.999999777956362
3,16,0.999999780666284
3,17,0.999999797891281
3,18,0.999999824417843
3,19,0.999999856521899
3,20,0.999999894847589
3,21,0.99999994063098
3,22,0.9999999917205
3,23,1.00000004303436
4,0,0.999634992166954
4,1,0.99970757003493
4,2,0.999798022022186
4,3,0.999899473725461
4,4,1.00000692865958
4,5,1.00011756141002
4,6,1.0002270092069
4,7,1.00032162996554
4,8,1.00038471803032
4,9,1.000409304128
4,10,1.00040351539817
4,11,1.00037622965748
4,12,1.00033197315965
4,13,1.00027318974786
4,14,1.00020112987102
4,15,1.00011456823249
4,16,1.00001251144705
4,17,0.999900286081374
4,18,0.999787297824942
4,19,0.999684747864203
4,20,0.999608806666261
4,21,0.999575749601227
4,22,0.999587792931445
4,23,0.999634992166954
5,0,1.00000180813806
5,1,1.00000135507781
5,2,1.0000007873455
5,3,1.00000019924947
5,4,0.999999646165845
5,5,0.999999138461062
5,6,0.999998686453833
5,7,0.999998314225554
5,8,0.999998050541877
5,9,0.999997918157802
5,10,0.999997930504378
5,11,0.99999809606958
5,12,0.999998390454777
5,13,0.999998773638863
5,14,0.999999215285987
5,15,0.999999705572778
5,16,1.00000023539296
5,17,1.00000077395045
5,18,1.00000127645617
5,19,1.00000169831516
5,20,1.00000199616176
5,21,1.0000021278154
5,22,1.00000206842687
5,23,1.00000180813806
6,0,1.00000229978484
6,1,1.00000269992156
6,2,1.00000285164473
6,3,1.00000274033663
6,4,1.00000239187454
6,5,1.00000187895225
6,6,1.00000126989743
6,7,1.0000005940135
6,8,0.999999867332185
6,9,0.999999123564347
6,10,0.999998423844602
6,11,0.99999783015911
6,12,0.999997392522057
6,13,0.999997155098901
6,14,0.999997139348389
6,15,0.999997319187075
6,16,0.999997662905481
6,17,0.99999814298346
6,18,0.999998734603847
6,19,0.999999413180517
6,20,1.00000015466235
6,21,1.00000093286238
6,22,1.00000168153499
6,23,1.00000229978484
7,0,1.00000003570855
7,1,1.00000003397592
7,2,1.00000003597306
7,3,1.00000004850012
7,4,1.00000007240058
7,5,1.00000010163135
7,6,1.00000012912369
7,7,1.00000014421642
7,8,1.00000013514268
7,9,1.00000009872878
7,10,1.00000004512243
7,11,0.999999985135533
7,12,0.999999925754299
7,13,0.999999872151552
7,14,0.999999831272584
7,15,0.999999813803108
7,16,0.999999829481113
7,17,0.999999871552101
7,18,0.999999922624496
7,19,0.999999968354468
7,20,1.00000000367516
7,21,1.00000002540995
7,22,1.0000000345535
7,23,1.00000003570855
