wday,hour,N
1,0,0.99977049517275
1,1,0.999668841620502
1,2,0.999591453981703
1,3,0.999545157913179
1,4,0.999533221060626
1,5,0.999554797634929
1,6,0.999608055613406
1,7,0.999686926475594
1,8,0.999783897532939
1,9,0.99989317210964
1,10,1.00001161564166
1,11,1.00013583387699
1,12,1.0002585515637
1,13,1.0003706366449
1,14,1.00046196105072
1,15,1.00052033197582
1,16,1.00053404209984
1,17,1.00050005021303
1,18,1.0004209099712
1,19,1.0003030794475
1,20,1.00016397975061
1,21,1.00002255584603
1,22,0.999889937629983
1,23,0.99977049517275
2,0,0.999999914073607
2,1,0.999999758033127
2,2,0.999999617543597
2,3,0.999999508966376
2,4,0.999999441808307
2,5,0.999999417651698
2,6,0.999999436658938
2,7,0.999999493517101
2,8,0.999999581015496
2,9,0.999999692283529
2,10,0.999999820980716
2,11,0.999999961276973
2,12,1.00000011103352
2,13,1.00000026981891
2,14,1.00000042861613
2,15,1.00000056038141
2,16,1.0000006374399
2,17,1.00000065116716
2,18,1.00000060523291
2,19,1.00000050705203
2,20,1.0000003742232
2,21,1.00000022567229
2,22,1.00000007147946
2,23,0.999999914073607
3,0,1.00000177597539
3,1,1.00000073388065
3,2,0.999999618376382
3,3,0.999998545314748
3,4,0.999997615484219
3,5,0.99999691225808
3,6,0.999996506273314
3,7,0.999996402326743
3,8,0.999996581944159
3,9,0.99999700370311
3,10,0.999997590646977
3,11,0.999998266631533
3,12,0.999998986239691
3,13,0.999999718773993
3,14,1.00000044445854
3,15,1.00000116623071
3,16,1.00000188571559
3,17,1.00000255603549
3,18,1.00000309902307
3,19,1.00000343844901
3,20,1.00000350515883
3,21,1.00000323522686
3,22,1.00000263589751
3,23,1.00000177597539
4,0,0.999999208875156
4,1,0.999999790518322
4,2,1.00000035890537
4,3,1.00000088502565
4,4,1.0000013437705
4,5,1.00000171454232
4,6,1.00000197947198
4,7,1.00000213455181
4,8,1.00000218048743
4,9,1.00000211165469
4,10,1.00000191261077
4,11,1.00000156809469
4,12,1.00000107099726
4,13,1.00000041833609
4,14,0.99999964602536
4,15,0.999998871495148
4,16,0.999998217953126
4,17,0.999997756448997
4,18,0.999997524362804
4,19,0.999997539234924
4,20,0.999997763150055
4,21,0.999998148261728
4,22,0.999998646350673
4,23,0.999999208875156
5,0,0.999998089300143
5,1,0.999997977992805
5,2,0.999998040753953
5,3,0.999998256431978
5,4,0.999998603907711
5,5,0.999999062099483
5,6,0.999999605441448
5,7,1.00000018326395
5,8,1.00000073636677
5,9,1.00000121733922
5,10,1.00000159705797
5,11,1.00000185100908
5,12,1.00000197879207
5,13,1.00000199147515
5,14,1.00000189526932
5,15,1.00000168605153
5,16,1.00000136002448
5,17,1.00000093230438
5,18,1.00000043021261
5,19,0.999999884114569
5,20,0.999999332546936
5,21,0.999998815961814
5,22,0.999998382982498
5,23,0.999998089300143
6,0,0.999999366328113
6,1,0.999999476907372
6,2,0.999999629765609
6,3,0.999999806510244
6,4,0.999999994771027
6,5,1.00000018914017
6,6,1.00000038282036
6,7,1.0000005590688
6,8,1.00000069773148
6,9,1.00000078142714
6,10,1.00000079707772
6,11,1.00000073516103
6,12,1.00000061145477
6,13,1.00000045375993
6,14,1.00000028321006
6,15,1.00000010680129
6,16,0.999999929884753
6,17,0.999999759382865
6,18,0.999999603232497
6,19,0.999999470090565
6,20,0.999999370636601
6,21,0.999999315721691
6,22,0.999999312787805
6,23,0.999999366328113
7,0,1.00000271563584
7,1,1.00000242589201
7,2,1.00000189178231
7,3,1.00000122312874
7,4,1.00000052286321
7,5,0.999999885951959
7,6,0.999999390882842
7,7,0.999999026418442
7,8,0.999998750256667
7,9,0.999998527730417
7,10,0.999998336055374
7,11,0.999998157240339
7,12,0.999998003241808
7,13,0.99999790038236
7,14,0.999997888851865
7,15,0.999998037735424
7,16,0.999998414238082
7,17,0.99999902141253
7,18,0.999999820891591
7,19,1.00000074248769
7,20,1.00000162646595
7,21,1.00000230140686
7,22,1.00000267341183
7,23,1.00000271563584
