wday,hour,N
1,0,0.596673110901901
1,1,0.601166643671386
1,2,0.600727496009242
1,3,0.594704973744099
1,4,0.597578142940094
1,5,0.641317662638422
1,6,0.751669328101761
1,7,0.914094252298679
1,8,1.10016009986751
1,9,1.28809720952888
1,10,1.46648485933625
1,11,1.62301233339753
1,12,1.73123091675622
1,13,1.75805197998318
1,14,1.68692465630823
1,15,1.53606479911167
1,16,1.32908327167329
1,17,1.10141660916071
1,18,0.89611971778363
1,19,0.745324348330128
1,20,0.649375959146719
1,21,0.602522524133034
1,22,0.591525994275549
1,23,0.596673110901901
2,0,0.596484149174547
2,1,0.601176620956242
2,2,0.600940697758419
2,3,0.594908365150624
2,4,0.597523268443557
2,5,0.640930940871225
2,6,0.751041312122389
2,7,0.913353983352486
2,8,1.09943144782374
2,9,1.28750006475978
2,10,1.46613704810581
2,11,1.62302481668917
2,12,1.73166835233643
2,13,1.75891369661224
2,14,1.68810898884323
2,15,1.53729454218174
2,16,1.3299253824946
2,17,1.10162037322775
2,18,0.89583476551684
2,19,0.744950144202353
2,20,0.649118396725661
2,21,0.602327131638026
2,22,0.591301361838608
2,23,0.596484149174547
3,0,0.597180258218841
3,1,0.601700433771852
3,2,0.601029316237669
3,3,0.594642984186218
3,4,0.597184509106556
3,5,0.640831600360241
3,6,0.7514609305656
3,7,0.914224831501024
3,8,1.10023542811546
3,9,1.28763253480718
3,10,1.4654709169868
3,11,1.62190839513274
3,12,1.73052291367622
3,13,1.75804147019809
3,14,1.68767662131289
3,15,1.53730089424043
3,16,1.33020655969018
3,17,1.10195534759441
3,18,0.896013580764825
3,19,0.744836996357155
3,20,0.648829819071192
3,21,0.602242982010146
3,22,0.591690417875445
3,23,0.597180258218841
4,0,0.596754785310887
4,1,0.601991464752329
4,2,0.602198188187491
4,3,0.595542607770588
4,4,0.59657838387249
4,5,0.638803124539577
4,6,0.749242380520188
4,7,0.912801094522961
4,8,1.09986273260491
4,9,1.28808600669766
4,10,1.466429047602
4,11,1.62300385410452
4,12,1.73148343783196
4,13,1.75875662379065
4,14,1.68812907534484
4,15,1.53742145168964
4,16,1.32987889477169
4,17,1.10128331289224
4,18,0.895493382955254
4,19,0.745080701701704
4,20,0.649761747445821
4,21,0.603011014554136
4,22,0.591651901225576
4,23,0.596754785310887
5,0,0.597191630875514
5,1,0.60200323192914
5,2,0.601583219800874
5,3,0.594834143083455
5,4,0.59645262694355
5,5,0.639394909032051
5,6,0.75021117188874
5,7,0.913913628403794
5,8,1.10119052362655
5,9,1.28970303679479
5,10,1.46794286768734
5,11,1.62363042676879
5,12,1.73096184574273
5,13,1.75778153955806
5,14,1.68774792170771
5,15,1.53776461450997
5,16,1.33009285113916
5,17,1.10061195200612
5,18,0.893975409500309
5,19,0.74333915544695
5,20,0.648365109661204
5,21,0.602349531285422
5,22,0.591767021732273
5,23,0.597191630875514
6,0,0.797719577029701
6,1,0.798640035562821
6,2,0.797382885647998
6,3,0.795027729708969
6,4,0.798673438792276
6,5,0.82237779110035
6,6,0.877430645015796
6,7,0.95746428488519
6,8,1.05000828624101
6,9,1.14473649047123
6,10,1.23465590400311
6,11,1.31238705929529
6,12,1.36520415958156
6,13,1.37787893526283
6,14,1.34280605432141
6,15,1.26839839305788
6,16,1.16564279125315
6,17,1.05200105607313
6,18,0.949106896663175
6,19,0.873189297382074
6,20,0.824730247324495
6,21,0.801160665808786
6,22,0.795657798488083
6,23,0.797719577029701
7,0,0.897756768480686
7,1,0.897562935754388
7,2,0.896809887271598
7,3,0.896565184347175
7,4,0.900060121827533
7,5,0.913027497930967
7,6,0.940101917877624
7,7,0.978993097276012
7,8,1.02500167050468
7,9,1.07332475182804
7,10,1.11900274578344
7,11,1.15697058359869
7,12,1.18143261729603
7,13,1.18626483592358
7,14,1.16859344979228
7,15,1.13236487502796
7,16,1.08264485840929
7,17,1.02752798884325
7,18,0.977060522254257
7,19,0.938906303217441
7,20,0.913782473101052
7,21,0.901025081467475
7,22,0.897463063705867
7,23,0.897756768480686
