wday,hour,N
1,0,0.999996466811871
1,1,0.999996683799978
1,2,0.999997129053576
1,3,0.999997807985595
1,4,0.999998678382762
1,5,0.999999642970914
1,6,1.00000061167819
1,7,1.00000155189735
1,8,1.00000245047644
1,9,1.00000326296705
1,10,1.00000389638021
1,11,1.00000425637141
1,12,1.0000042709919
1,13,1.00000387939229
1,14,1.00000308890296
1,15,1.00000204968908
1,16,1.00000092469395
1,17,0.999999816325732
1,18,0.999998787933315
1,19,0.999997897879151
1,20,0.999997192054534
1,21,0.999996712583342
1,22,0.999996473966511
1,23,0.999996466811871
2,0,1.00000101749319
2,1,1.0000007402897
2,2,1.00000045426565
2,3,1.00000014835008
2,4,0.999999816218646
2,5,0.999999457034588
2,6,0.999999078413183
2,7,0.999998733554328
2,8,0.999998491008617
2,9,0.999998389551265
2,10,0.999998421780988
2,11,0.999998575528825
2,12,0.999998832308143
2,13,0.999999170607024
2,14,0.999999566854882
2,15,0.999999993203022
2,16,1.00000042113498
2,17,1.00000082063382
2,18,1.00000116071267
2,19,1.00000140849836
2,20,1.00000152573825
2,21,1.00000147645915
2,22,1.00000128286743
2,23,1.00000101749319
3,0,0.99962055304794
3,1,0.999696496362738
3,2,0.999795850845219
3,3,0.999920756430421
3,4,1.00006375709016
3,5,1.00020630285421
3,6,1.00033030880897
3,7,1.00042375038137
3,8,1.00047682336012
3,9,1.00048653690475
3,10,1.00046045762074
3,11,1.0004068153182
3,12,1.00033189438847
3,13,1.00024104950319
3,14,1.00013930430335
3,15,1.00003100024046
3,16,0.999920425674694
3,17,0.999812250364169
3,18,0.999711392168865
3,19,0.999624803544019
3,20,0.999565277673691
3,21,0.999545964289389
3,22,0.999567675776922
3,23,0.99962055304794
4,0,0.999999735191211
4,1,0.999999550762057
4,2,0.999999421919761
4,3,0.999999335179923
4,4,0.999999283379885
4,5,0.999999266665589
4,6,0.999999285171389
4,7,0.999999336688688
4,8,0.999999418219722
4,9,0.99999952828695
4,10,0.999999667770443
4,11,0.99999983803572
4,12,1.000000042693
4,13,1.00000028632845
4,14,1.00000055819619
4,15,1.00000081538514
4,16,1.00000101146925
4,17,1.0000011062439
4,18,1.00000106354227
4,19,1.00000087115613
4,20,1.00000058560188
4,21,1.00000027441677
4,22,0.999999982504482
4,23,0.999999735191211
5,0,1.00024726554132
5,1,1.00014739391045
5,2,1.00003619079123
5,3,0.999928089431748
5,4,0.999831880772436
5,5,0.999749832653058
5,6,0.999684180478764
5,7,0.999639011434202
5,8,0.999619004596624
5,9,0.999625727646223
5,10,0.999655924595915
5,11,0.99970611480992
5,12,0.99977432888022
5,13,0.999859306756024
5,14,0.999957957118176
5,15,1.00006333917497
5,16,1.00016785693386
5,17,1.00026193252747
5,18,1.00033471196486
5,19,1.00037781529053
5,20,1.00039004042641
5,21,1.00037151953578
5,22,1.00032330918848
5,23,1.00024726554132
6,0,0.999997869911238
6,1,0.999998339846437
6,2,0.999998894179239
6,3,0.999999557958642
6,4,1.00000033192941
6,5,1.00000118873805
6,6,1.00000207957496
6,7,1.00000284432687
6,8,1.00000328598807
6,9,1.00000331561067
6,10,1.00000301179658
6,11,1.00000247002668
6,12,1.00000180536652
6,13,1.00000114186042
6,14,1.00000054505309
6,15,0.999999957695131
6,16,0.999999314833815
6,17,0.999998641710738
6,18,0.999998021753847
6,19,0.999997535836661
6,20,0.999997254695154
6,21,0.999997242535375
6,22,0.999997478861169
6,23,0.999997869911238
7,0,0.999864816353968
7,1,0.999764808581049
7,2,0.999679827945139
7,3,0.999613870721286
7,4,0.999572597575098
7,5,0.999563593382594
7,6,0.999592961570724
7,7,0.999657916033918
7,8,0.999752535990135
7,9,0.999868240513912
7,10,0.999992330266821
7,11,1.00011232983501
7,12,1.00022035566372
7,13,1.00031071836597
7,14,1.0003784625898
7,15,1.0004201439738
7,16,1.00043268886039
7,17,1.00041512124584
7,18,1.00036782014621
7,19,1.00029287514
7,20,1.0001972313681
7,21,1.0000887076625
7,22,0.99997522986005
7,23,0.999864816353968
