wday,hour,N
1,0,0.594887723194733
1,1,0.5997769725219
1,2,0.599597523252057
1,3,0.59335471933441
1,4,0.595594270833728
1,5,0.638828184344057
1,6,0.749288642140423
1,7,0.912467634526752
1,8,1.09980340777959
1,9,1.28928029323462
1,10,1.46905109501078
1,11,1.62642320013639
1,12,1.73504329902594
1,13,1.76214413058444
1,14,1.69122978839022
1,15,1.54000948973446
1,16,1.33159472209205
1,17,1.10182910715569
1,18,0.894759111579899
1,19,0.743178668723513
1,20,0.647119925028944
1,21,0.600359957427845
1,22,0.589490410752838
1,23,0.594887723194733
2,0,0.59432187629928
2,1,0.599386880496387
2,2,0.599593171773726
2,3,0.593559928892395
2,4,0.595803671502576
2,5,0.639219916140126
2,6,0.750308272292529
2,7,0.914049952795705
2,8,1.10111351291089
2,9,1.28941079879416
2,10,1.46810321944835
2,11,1.62544304752448
2,12,1.73477726698619
2,13,1.76244780858739
2,14,1.69145558052887
2,15,1.53982712370951
2,16,1.33107501887947
2,17,1.10121674721903
2,18,0.89432594776633
2,19,0.74313696126478
2,20,0.647379789878989
2,21,0.600509277572244
2,22,0.589212352437313
2,23,0.594321876299279
3,0,0.594380288372808
3,1,0.599358862364898
3,2,0.599342989434654
3,3,0.592838634775092
3,4,0.594503805545197
3,5,0.637669967003714
3,6,0.749182136317105
3,7,0.913768508575816
3,8,1.10163902039745
3,9,1.2903929762734
3,10,1.46910598661474
3,11,1.62599984994135
3,12,1.73467554491617
3,13,1.76186374979782
3,14,1.69080841475495
3,15,1.53947182655493
3,16,1.33125433720354
3,17,1.10195331246423
3,18,0.895352803060487
3,19,0.744027282637986
3,20,0.647923367078986
3,21,0.600769288409035
3,22,0.589336759132847
3,23,0.594380288372808
4,0,0.59519858601077
4,1,0.599910742619157
4,2,0.599602001201333
4,3,0.593108295592486
4,4,0.595089765789564
4,5,0.638500997243918
4,6,0.749857484952246
4,7,0.913941040724189
4,8,1.10114867219675
4,9,1.28928239095016
4,10,1.46764454310912
4,11,1.62464590003558
4,12,1.73376009687419
4,13,1.7614400769217
4,14,1.69072436562544
4,15,1.5395234074997
4,16,1.33121726874455
4,17,1.10172505991515
4,18,0.895044130654215
4,19,0.743885578844647
4,20,0.648107696390416
4,21,0.601310054770792
4,22,0.590133257323145
4,23,0.59519858601077
5,0,0.59550764580812
5,1,0.600490970859152
5,2,0.600178971440801
5,3,0.59352149690408
5,4,0.595286865654509
5,5,0.638531208853061
5,6,0.749846260688248
5,7,0.913950531836938
5,8,1.10113058225509
5,9,1.28915975546205
5,10,1.46743856342579
5,11,1.62446664690041
5,12,1.73364603351121
5,13,1.76128231707297
5,14,1.69039367032451
5,15,1.53913748532256
5,16,1.331135450718
5,17,1.10209512280882
5,18,0.895510188289569
5,19,0.743845534415127
5,20,0.647467822444879
5,21,0.600587774753177
5,22,0.589881454442806
5,23,0.59550764580812
6,0,0.796145494674669
6,1,0.79806110542932
6,2,0.797702736992074
6,3,0.79523612487625
6,4,0.797755454976179
6,5,0.820364930010001
6,6,0.875274541618382
6,7,0.956002384347723
6,8,1.04960631787453
6,9,1.14541111437898
6,10,1.2362653729666
6,11,1.31465347366021
6,12,1.36775995683206
6,13,1.38028981295375
6,14,1.34469343091837
6,15,1.26969592172611
6,16,1.16659561607901
6,17,1.05278168228021
6,18,0.949567501147854
6,19,0.872993256038623
6,20,0.823742355388568
6,21,0.799515733594898
6,22,0.793740186560957
6,23,0.796145494674669
7,0,0.896984196764909
7,1,0.896745022437932
7,2,0.89603293141083
7,3,0.896068261336761
7,4,0.899988762970722
7,5,0.913148918134453
7,6,0.939897949183194
7,7,0.978268981868239
7,8,1.02409188425889
7,9,1.07274403626403
7,10,1.1189048782293
7,11,1.15715291453001
7,12,1.1817418490065
7,13,1.18678966486946
7,14,1.16952575179742
7,15,1.13370611195747
7,16,1.08418054857528
7,17,1.02896068563624
7,18,0.97809566487535
7,19,0.939311481062533
7,20,0.913553787066853
7,21,0.900404532186793
7,22,0.896716988811931
7,23,0.896984196764909
