wday,hour,N
1,0,0.994834696287485
1,1,0.99433277666799
1,2,0.993957933723942
1,3,0.99379404510564
1,4,0.993962592335271
1,5,0.9946285309631
1,6,0.995926978925266
1,7,0.997812540715984
1,8,1.00017567386945
1,9,1.00282321998552
1,10,1.00543251362577
1,11,1.0076678383145
1,12,1.00917830380866
1,13,1.00960713319712
1,14,1.00881659441374
1,15,1.00712838537532
1,16,1.0049199224423
1,17,1.00254383800514
1,18,1.00033668654096
1,19,0.998546853709187
1,20,0.997169873606523
1,21,0.996154194737764
1,22,0.995414177355884
1,23,0.994834696287485
2,0,0.993517908281618
2,1,0.992833403724149
2,2,0.992556938238965
2,3,0.992811652859492
2,4,0.993632772919158
2,5,0.994953883962208
2,6,0.996707600041033
2,7,0.998852780516762
2,8,1.00135520290974
2,9,1.00404830203965
2,10,1.0065603673412
2,11,1.00851703749103
2,12,1.00966304600887
2,13,1.00980087392453
2,14,1.00888833648713
2,15,1.00720825098943
2,16,1.00508152150553
2,17,1.00279607488428
2,18,1.00061848559669
2,19,0.998738531886068
2,20,0.997126107175276
2,21,0.995715075801203
2,22,0.994497937134371
2,23,0.993517908281618
3,0,0.992306504822424
3,1,0.991298201867174
3,2,0.990501909014222
3,3,0.990739870114404
3,4,0.992152782951687
3,5,0.994093406425917
3,6,0.995996730461938
3,7,0.998003488779168
3,8,1.00049629797347
3,9,1.00365013870353
3,10,1.00731777410941
3,11,1.01124377253374
3,12,1.01453357757352
3,13,1.01599108812276
3,14,1.01494379597408
3,15,1.01182110212235
3,16,1.00722559707172
3,17,1.0021602312347
3,18,0.997885833123925
3,19,0.995250595743293
3,20,0.993903380369067
3,21,0.993282532413908
3,22,0.992894883671191
3,23,0.992306504822424
4,0,0.994059982480133
4,1,0.993671296505697
4,2,0.993452077533666
4,3,0.993571968833714
4,4,0.994028314432522
4,5,0.994619262323133
4,6,0.995223449713236
4,7,0.996231997682284
4,8,0.998206188100213
4,9,1.0012274132002
4,10,1.00463295901843
4,11,1.00773090418716
4,12,1.01010571193384
4,13,1.01147390858032
4,14,1.01159552891267
4,15,1.01032014272832
4,16,1.00756718005527
4,17,1.00393713528478
4,18,1.00046960951433
4,19,0.997923028540143
4,20,0.996225950272484
4,21,0.995158892337648
4,22,0.994507115349664
4,23,0.994059982480133
5,0,0.991110039142594
5,1,0.991059788678528
5,2,0.991402593224994
5,3,0.992176401154761
5,4,0.99349047864945
5,5,0.995536542773244
5,6,0.998412486091099
5,7,1.00166548688707
5,8,1.00465601733087
5,9,1.0070291407454
5,10,1.00887133468421
5,11,1.01028157631701
5,12,1.01115655602842
5,13,1.01129669052741
5,14,1.01053286119758
5,15,1.008761079575
5,16,1.0059253763875
5,17,1.00243266833759
5,18,0.998988344542082
5,19,0.996139727827152
5,20,0.993965145238746
5,21,0.99245581551424
5,22,0.991543810002456
5,23,0.991110039142594
6,0,0.996801716687135
6,1,0.995726343359997
6,2,0.995051884481133
6,3,0.994927354594723
6,4,0.995357935984298
6,5,0.99618252572324
6,6,0.997237898499239
6,7,0.998400784459276
6,8,0.999562353205842
6,9,1.00064673912707
6,10,1.00162915041244
6,11,1.00249086124472
6,12,1.00322642866606
6,13,1.00383661244312
6,14,1.0043008586316
6,15,1.00455383668106
6,16,1.0045263712617
6,17,1.0041701352136
6,18,1.00345028916791
6,19,1.00236942738006
6,20,1.00103717731381
6,21,0.999582109945543
6,22,0.998129488829277
6,23,0.996801716687135
7,0,0.998918943289044
7,1,0.998263619423206
7,2,0.997719563678227
7,3,0.997279747235772
7,4,0.996966380644802
7,5,0.996835478235941
7,6,0.996938377402854
7,7,0.997289708027841
7,8,0.997890795259151
7,9,0.998710336108593
7,10,0.999666473835708
7,11,1.00067311232116
7,12,1.00164502371861
7,13,1.00249741018215
7,14,1.00314806550627
7,15,1.00352021280209
7,16,1.00354609534139
7,17,1.0032548683626
7,18,1.00273819904425
7,19,1.00207693494742
7,20,1.00131780343456
7,21,1.00050204497509
7,22,0.999681862934244
7,23,0.998918943289044
