wday,hour,N
1,0,0.9847331954042
1,1,0.986634755167109
1,2,0.990036418833964
1,3,0.993590401648724
1,4,0.996642405777862
1,5,0.999339877156081
1,6,1.00184098759748
1,7,1.00411402132982
1,8,1.00606158934166
1,9,1.00760663855641
1,10,1.00870373932799
1,11,1.0093445071978
1,12,1.00979315539481
1,13,1.01044142082397
1,14,1.01128067798659
1,15,1.01146106353251
1,16,1.01009339037123
1,17,1.00706273189455
1,18,1.00275378024912
1,19,0.997655032564688
1,20,0.992529633620035
1,21,0.988185879358682
1,22,0.985361501460532
1,23,0.9847331954042
2,0,0.986333610722068
2,1,0.984940960764305
2,2,0.985144268206209
2,3,0.987502005787248
2,4,0.991902950854405
2,5,0.99746164249565
2,6,1.00321030237314
2,7,1.00796186112898
2,8,1.01047053133764
2,9,1.01054147714274
2,10,1.00960895625912
2,11,1.0091018344517
2,12,1.00929323089276
2,13,1.00990411712349
2,14,1.01048902045818
2,15,1.01026055281373
2,16,1.00847213018529
2,17,1.0053520097035
2,18,1.00175715009923
2,19,0.998327740328394
2,20,0.995050277779061
2,21,0.991809924752613
2,22,0.988769833618478
2,23,0.986333610722068
3,0,0.986709470593297
3,1,0.985882351058273
3,2,0.986427342338653
3,3,0.988384465387646
3,4,0.991572066407851
3,5,0.99555221229205
3,6,0.999860816101743
3,7,1.00396732500789
3,8,1.00732259291214
3,9,1.00964824235713
3,10,1.01108562323798
3,11,1.01179962613893
3,12,1.01185535517463
3,13,1.01127085890407
3,14,1.01014992597907
3,15,1.00877675637134
3,16,1.0074140677484
3,17,1.00581076097428
3,18,1.00338454645568
3,19,0.999850647260778
3,20,0.995795975863004
3,21,0.991950640218104
3,22,0.988818860623777
3,23,0.986709470593297
4,0,0.985317026221971
4,1,0.985062628827459
4,2,0.986682357687634
4,3,0.989846203394081
4,4,0.994002215215338
4,5,0.998341854924366
4,6,1.00212916816727
4,7,1.00511433764341
4,8,1.00721873673902
4,9,1.00849519255877
4,10,1.00920002246493
4,11,1.00959812006333
4,12,1.00988347320252
4,13,1.01021490886663
4,14,1.01053218433024
4,15,1.01031610487203
4,16,1.00903148279027
4,17,1.00662902318829
4,18,1.00337291093634
4,19,0.999533091311383
4,20,0.995381050686696
4,21,0.991204452519355
4,22,0.987576427166695
4,23,0.985317026221971
5,0,0.987988616105807
5,1,0.988569938909573
5,2,0.989761065427312
5,3,0.991326586709367
5,4,0.993329537798873
5,5,0.996177986361227
5,6,1.00012663297108
5,7,1.00446443358171
5,8,1.00815156636564
5,9,1.01056532374108
5,10,1.01173004768675
5,11,1.01176083010878
5,12,1.01105143486544
5,13,1.01012696447478
5,14,1.00926129164507
5,15,1.00819974452923
5,16,1.00662667860298
5,17,1.00429132234681
5,18,1.00098505976819
5,19,0.996800740044467
5,20,0.992696372196998
5,21,0.989743476103042
5,22,0.988275733549995
5,23,0.987988616105807
6,0,0.98297770194321
6,1,0.983975506220944
6,2,0.986765662054534
6,3,0.990593332965576
6,4,0.994937311744512
6,5,0.999546491171114
6,6,1.00411659020166
6,7,1.0079615917216
6,8,1.01027287151693
6,9,1.01084774096056
6,10,1.01042291810906
6,11,1.00977449739874
6,12,1.0093495267937
6,13,1.00943621591985
6,14,1.01000920242831
6,15,1.01038759072347
6,16,1.00983032084328
6,17,1.00785648773335
6,18,1.0041534043113
6,19,0.998785772559384
6,20,0.992895809741447
6,21,0.987793000308779
6,22,0.984332750685471
6,23,0.98297770194321
7,0,0.985404429896781
7,1,0.985558068080198
7,2,0.987067383299997
7,3,0.989779099866447
7,4,0.99346938306696
7,5,0.997832824542748
7,6,1.00249765044526
7,7,1.00674615214714
7,8,1.00974832156587
7,9,1.01115179114484
7,10,1.01134472329754
7,11,1.01077839837627
7,12,1.0098994622487
7,13,1.00915094528168
7,14,1.00874765531056
7,15,1.00842584659101
7,16,1.0078436736279
7,17,1.00645188520677
7,18,1.00356789796502
7,19,0.99898297977236
7,20,0.993857849517387
7,21,0.989557980975657
7,22,0.986731167876132
7,23,0.985404429896781
