wday,hour,N
1,0,0.877698767440038
1,1,0.89529951296338
1,2,0.926108462691585
1,3,0.958777876651855
1,4,0.988002070096912
1,5,1.01546060914298
1,6,1.04238990480303
1,7,1.06536927581475
1,8,1.07942574480652
1,9,1.08358754770008
1,10,1.08308732056567
1,11,1.08305517676461
1,12,1.08356845148534
1,13,1.08229495848493
1,14,1.07688901149927
1,15,1.06500773270746
1,16,1.0446195643333
1,17,1.01730793313779
1,18,0.98698775539297
1,19,0.956857274958236
1,20,0.927941411086212
1,21,0.9011114654494
1,22,0.881453404583652
1,23,0.877698767440038
2,0,0.878262660228492
2,1,0.896148240875248
2,2,0.927077915616448
2,3,0.959598959289456
2,4,0.988396151268808
2,5,1.01524987122859
2,6,1.04152751737661
2,7,1.0640738420432
2,8,1.07822317799935
2,9,1.08301934239343
2,10,1.0832582999655
2,11,1.08364223572961
2,12,1.08419894973921
2,13,1.08272714631981
2,14,1.07700997185657
2,15,1.06482673535981
2,16,1.04425787169637
2,17,1.01689002094175
2,18,0.986571162260756
2,19,0.956461103902779
2,20,0.927631678802152
2,21,0.901012209992306
2,22,0.881672274885255
2,23,0.878262660228492
3,0,0.8775014539172
3,1,0.8953310797951
3,2,0.926467383881765
3,3,0.959367335022536
3,4,0.988595918957372
3,5,1.01577963091182
3,6,1.04215098262024
3,7,1.0645367731977
3,8,1.0782958418357
3,9,1.08260506247766
3,10,1.08256164647674
3,11,1.08312787286486
3,12,1.08414991460052
3,13,1.08303536543793
3,14,1.07736349154459
3,15,1.06510506370872
3,16,1.04456360209321
3,17,1.01733775620549
3,18,0.987151355103813
3,19,0.957056151785974
3,20,0.928068749494898
3,21,0.901080598252929
3,22,0.881265515896043
3,23,0.8775014539172
4,0,0.877383457824193
4,1,0.895404515582901
4,2,0.926421517277985
4,3,0.95910356124985
4,4,0.98827449121211
4,5,1.01587368339641
4,6,1.0432926040215
4,7,1.06663884039423
4,8,1.08026155186069
4,9,1.08321689722335
4,10,1.08185974308509
4,11,1.08232679213764
4,12,1.08403599913949
4,13,1.08320667033092
4,14,1.07690479730953
4,15,1.0640132468822
4,16,1.04381588943649
4,17,1.01759873085908
4,18,0.98793927088425
4,19,0.957230889047141
4,20,0.927275415624932
4,21,0.899958986719325
4,22,0.880578990676508
4,23,0.877383457824193
5,0,0.87757626368986
5,1,0.895161980264031
5,2,0.925952942222099
5,3,0.958694254563613
5,4,0.988058816335122
5,5,1.01557267951541
5,6,1.04235395495489
5,7,1.0651018835794
5,8,1.07904465172505
5,9,1.08331723938921
5,10,1.08311254740689
5,11,1.08349084732518
5,12,1.08432060362306
5,13,1.08299582331971
5,14,1.07711792111885
5,15,1.06475521933713
5,16,1.04430287189646
5,17,1.0172719935427
5,18,0.987183384275237
5,19,0.956981744967904
5,20,0.92785824668432
5,21,0.900915084213156
5,22,0.881282782360853
5,23,0.87757626368986
6,0,0.877838708674509
6,1,0.89529875644234
6,2,0.925748947768826
6,3,0.95840881021741
6,4,0.988076517678265
6,5,1.01599974551359
6,6,1.04302002696671
6,7,1.06569591169507
6,8,1.07916626046858
6,9,1.08272431323428
6,10,1.08210491481017
6,11,1.0828450328228
6,12,1.08450953301384
6,13,1.08381857333391
6,14,1.07799792077814
6,15,1.06537038302863
6,16,1.04464217393552
6,17,1.01737076241887
6,18,0.986952631143879
6,19,0.956311289222267
6,20,0.92692154467936
6,21,0.900198801574459
6,22,0.881139731904061
6,23,0.877838708674509
7,0,0.876535591884641
7,1,0.895370280732569
7,2,0.927464963382747
7,3,0.960385472778524
7,4,0.988698074721841
7,5,1.01506227114791
7,6,1.041599467323
7,7,1.06489734841899
7,8,1.07968649042272
7,9,1.08469485508571
7,10,1.08484934590489
7,11,1.08500706707455
7,12,1.08523595273787
7,13,1.08332044872321
7,14,1.07708516367941
7,15,1.06446842210082
7,16,1.04370859008223
7,17,1.0163655607445
7,18,0.986141420898397
7,19,0.956049908414598
7,20,0.927021985887849
7,21,0.899869429763181
7,22,0.879946296205205
7,23,0.876535591884641
