wday,hour,N
1,0,0.999998439280525
1,1,0.999998939648171
1,2,0.99999955677481
1,3,1.00000020363749
1,4,1.00000081117
1,5,1.00000133106603
1,6,1.00000172071168
1,7,1.00000196287517
1,8,1.00000204937286
1,9,1.000001985483
1,10,1.000001797336
1,11,1.00000151184761
1,12,1.00000114792509
1,13,1.00000072069998
1,14,1.00000025231091
1,15,0.99999977963969
1,16,0.999999339290931
1,17,0.99999894306587
1,18,0.999998586777039
1,19,0.99999827938691
1,20,0.999998068451024
1,21,0.999998007192964
1,22,0.999998126775734
1,23,0.999998439280525
2,0,1.00000039326692
2,1,1.00000029825949
2,2,1.00000019522467
2,3,1.00000008387293
2,4,0.999999964601893
2,5,0.999999838603543
2,6,0.999999708877193
2,7,0.999999588287744
2,8,0.99999949305492
2,9,0.999999434908211
2,10,0.999999418611919
2,11,0.999999447448543
2,12,0.999999517690892
2,13,0.999999622279462
2,14,0.99999975582486
2,15,0.999999916483091
2,16,1.00000010114935
2,17,1.00000028687221
2,18,1.00000043790577
2,19,1.00000052805093
2,20,1.00000055918393
2,21,1.00000053846356
2,22,1.00000047781104
2,23,1.00000039326692
3,0,0.999999641931946
3,1,0.999998931840049
3,2,0.999998296690257
3,3,0.999997789937258
3,4,0.999997445443162
3,5,0.99999727441899
3,6,0.999997287585328
3,7,0.999997499978834
3,8,0.999997927578967
3,9,0.999998552907348
3,10,0.999999306623606
3,11,1.00000011488648
3,12,1.00000090353982
3,13,1.00000159837921
3,14,1.00000214174428
3,15,1.00000251066941
3,16,1.00000268827937
3,17,1.00000267771377
3,18,1.00000249502458
3,19,1.00000215605653
3,20,1.00000167543916
3,21,1.0000010687572
3,22,1.00000037264249
3,23,0.999999641931946
4,0,0.999998681578596
4,1,0.999998748411807
4,2,0.999998908934569
4,3,0.999999148576498
4,4,0.999999446721637
4,5,0.999999775764705
4,6,1.00000011063166
4,7,1.00000044259107
4,8,1.00000076839128
4,9,1.00000107268642
4,10,1.00000132137575
4,11,1.00000148040608
4,12,1.00000152891412
4,13,1.00000145239361
4,14,1.0000012472724
4,15,1.000000932826
4,16,1.00000053312141
4,17,1.00000009448305
4,18,0.999999677580267
4,19,0.999999328774994
4,20,0.999999052585236
4,21,0.999998846579902
4,22,0.99999871782034
4,23,0.999998681578596
5,0,1.00025738000141
5,1,1.00028583371751
5,2,1.00029549998493
5,3,1.00028258077697
5,4,1.00024500996433
5,5,1.00018272367307
5,6,1.00009696135111
5,7,0.99999563133826
5,8,0.999888973535447
5,9,0.999788019829295
5,10,0.999705026076339
5,11,0.999651506868029
5,12,0.999632253734908
5,13,0.999648825440169
5,14,0.999698421335681
5,15,0.999769140502377
5,16,0.999848250187585
5,17,0.999926668495469
5,18,0.999997671860478
5,19,1.00005750299593
5,20,1.00011082421255
5,21,1.00016343243734
5,22,1.0002144816794
5,23,1.00025738000141
6,0,0.99999974108086
6,1,0.999999633515822
6,2,0.999999564516713
6,3,0.999999541237033
6,4,0.999999557922801
6,5,0.999999593897628
6,6,0.999999631666213
6,7,0.99999967618503
6,8,0.9999997401193
6,9,0.9999998303535
6,10,0.9999999447998
6,11,1.00000007957012
6,12,1.0000002226088
6,13,1.0000003579734
6,14,1.00000047101396
6,15,1.00000054984114
6,16,1.00000058330287
6,17,1.00000056477695
6,18,1.00000049057007
6,19,1.0000003634022
6,20,1.00000020430097
6,21,1.00000003718246
6,22,0.999999879081498
6,23,0.99999974108086
7,0,0.999998974678198
7,1,0.999996486053812
7,2,0.999994040418476
7,3,0.999991727108245
7,4,0.999989740923651
7,5,0.99998839859324
7,6,0.999987991036532
7,7,0.999988626747955
7,8,0.99999034864139
7,9,0.999993069872677
7,10,0.9999965025714
7,11,1.00000032933735
7,12,1.0000041355862
7,13,1.00000746097384
7,14,1.00000993980271
7,15,1.00001140544735
7,16,1.00001173907007
7,17,1.00001108596545
7,18,1.0000097617832
7,19,1.00000803243803
7,20,1.00000601261195
7,21,1.00000378880847
7,22,1.00000142685162
7,23,0.999998974678198
