wday,hour,N
1,0,0.192447076750229
1,1,0.112590589642275
1,2,0.0519164800057397
1,3,0.0606979855577035
1,4,0.194118305133133
1,5,0.513037068658464
1,6,1.03817661433126
1,7,1.56389354755551
1,8,1.8092628358124
1,9,1.69806320472656
1,10,1.47148667167174
1,11,1.37112318500364
1,12,1.42488007599645
1,13,1.55880069361742
1,14,1.7040371148533
1,15,1.80377038979453
1,16,1.80486394452094
1,17,1.67938088669774
1,18,1.41567474777852
1,19,1.03480446569993
1,20,0.651126846674395
1,21,0.389496285240382
1,22,0.263903907527504
1,23,0.192447076750229
2,0,0.20558821307457
2,1,0.131696048160251
2,2,0.0723792524272183
2,3,0.0658312264306376
2,4,0.172073662324969
2,5,0.476364051517025
2,6,1.01813779887925
2,7,1.57255742685636
2,8,1.82667380341493
2,9,1.69311887024014
2,10,1.4343182081389
2,11,1.31379820074988
2,12,1.36486377019999
2,13,1.51105957009384
2,14,1.67946890505803
2,15,1.80601346083995
2,16,1.83016760705497
2,17,1.71976809356189
2,18,1.4609844232524
2,19,1.07459649649439
2,20,0.680063977184484
2,21,0.408184121412992
2,22,0.276704599558376
2,23,0.20558821307457
3,0,0.214407777126759
3,1,0.137240522368797
3,2,0.0761296969328738
3,3,0.0694979889554912
3,4,0.175732466809151
3,5,0.476301120684793
3,6,1.00811289377565
3,7,1.55154312419499
3,8,1.80146084248774
3,9,1.67320887849128
3,10,1.42400323876054
3,11,1.31184321589008
3,12,1.36739593381583
3,13,1.51295831986886
3,14,1.67636326257481
3,15,1.798452592448
3,16,1.8236883954923
3,17,1.71957581586062
3,18,1.46852161569906
3,19,1.08816868129294
3,20,0.696804096520957
3,21,0.424485718048207
3,22,0.289696024773512
3,23,0.214407777126759
4,0,0.220186704196076
4,1,0.140068742294224
4,2,0.0816630726860903
4,3,0.0752830173707782
4,4,0.175471031780551
4,5,0.464780996089563
4,6,0.982328411766335
4,7,1.51542924672555
4,8,1.7674165027777
4,9,1.65475283350638
4,10,1.4243880793673
4,11,1.32408617862636
4,12,1.38230200814134
4,13,1.52295253656717
4,14,1.67653579365655
4,15,1.78870091225797
4,16,1.80880330748471
4,17,1.70710583117213
4,18,1.4673920125977
4,19,1.10555074691297
4,20,0.729175536992107
4,21,0.456777763240161
4,22,0.308662029594192
4,23,0.220186704196076
5,0,0.238218490562376
5,1,0.151216005056711
5,2,0.0897394279527837
5,3,0.084452408757402
5,4,0.181961011733818
5,5,0.447302408158913
5,6,0.90942713322279
5,7,1.38961057728548
5,8,1.63991220584985
5,9,1.59118432803241
5,10,1.45152051534116
5,11,1.42786750331907
5,12,1.52866512012204
5,13,1.66779798676464
5,14,1.77597884673992
5,15,1.82043149888397
5,16,1.77437573505013
5,17,1.6272901002429
5,18,1.37916329663732
5,19,1.05071530423313
5,20,0.721796862543525
5,21,0.478735110571286
5,22,0.334419632375997
5,23,0.238218490562376
6,0,0.343382182759995
6,1,0.258472684280997
6,2,0.191221192963709
6,3,0.172922709339456
6,4,0.224056760850739
6,5,0.352599051338146
6,6,0.563101213092675
6,7,0.844852277433653
6,8,1.18138658352598
6,9,1.529308693962
6,10,1.80349027490021
6,11,1.92734514747897
6,12,1.92063637527216
6,13,1.84896650620675
6,14,1.76088015651317
6,15,1.66855812419169
6,16,1.57709232593339
6,17,1.46239557407505
6,18,1.28158465736991
6,19,1.02055082281
6,20,0.748857734576597
6,21,0.547204256022265
6,22,0.427752512342488
6,23,0.343382182759995
7,0,0.332177811528768
7,1,0.223786187955609
7,2,0.161034071770989
7,3,0.152382257192059
7,4,0.192582134709224
7,5,0.260535583240084
7,6,0.345670611037463
7,7,0.5012566710713
7,8,0.801304108043264
7,9,1.23265342157129
7,10,1.64699731239203
7,11,1.90218472981087
7,12,1.9972827050679
7,13,1.99859155970697
7,14,1.95501483770851
7,15,1.87810537732686
7,16,1.7734666999352
7,17,1.63221525907524
7,18,1.43613639505539
7,19,1.18218028646944
7,20,0.911366948097817
7,21,0.671004124372005
7,22,0.479893095332959
7,23,0.332177811528768
