wday,hour,N
1,0,0.956535742346277
1,1,0.962233368590304
1,2,0.972832338456206
1,3,0.984926776359357
1,4,0.996466307442641
1,5,1.0069676581537
1,6,1.01599950303249
1,7,1.02293273159458
1,8,1.02708361387689
1,9,1.02861670853252
1,10,1.02901152857389
1,11,1.02964864907703
1,12,1.03022459136433
1,13,1.02963456951458
1,14,1.02705645906432
1,15,1.02227124735989
1,16,1.01517930753132
1,17,1.0061860409638
1,18,0.996022640093236
1,19,0.985392232310737
1,20,0.97490159512589
1,21,0.965205749873859
1,22,0.958134898415875
1,23,0.956535742346277
2,0,0.958113431587377
2,1,0.963982018488315
2,2,0.974210936791103
2,3,0.984769680353801
2,4,0.994110107414481
2,5,1.00355395033215
2,6,1.01407549259503
2,7,1.02381024684859
2,8,1.02993935197659
2,9,1.03159342579765
2,10,1.03092631428919
2,11,1.03010208040708
2,12,1.02930059009639
2,13,1.02775628863258
2,14,1.0248257157421
2,15,1.02013366277617
2,16,1.01339047943489
2,17,1.00490846609092
2,18,0.995388215583321
2,19,0.985474238328357
2,20,0.975631104877334
2,21,0.966365841944599
2,22,0.959524928024604
2,23,0.958113431587377
3,0,0.961861910277827
3,1,0.967328245820946
3,2,0.976098092559725
3,3,0.985715395519929
3,4,0.995122253795537
3,5,1.00487717953002
3,6,1.01520707374029
3,7,1.02397939825066
3,8,1.02828495691344
3,9,1.02782894147534
3,10,1.0263701214049
3,11,1.02744071860013
3,12,1.03000455736517
3,13,1.03085413498574
3,14,1.02794006860771
3,15,1.02166968490724
3,16,1.01278453268888
3,17,1.00231537619967
3,18,0.991479414095018
3,19,0.981341379961632
3,20,0.97251849521426
3,21,0.965574191586206
3,22,0.961541966221906
3,23,0.961861910277827
4,0,0.95871129554274
4,1,0.963249390082879
4,2,0.972398779702035
4,3,0.983534771294593
4,4,0.994884819722106
4,5,1.00566155245732
4,6,1.01514550987056
4,7,1.02269017089038
4,8,1.02768270413149
4,9,1.03001028580065
4,10,1.03033506441161
4,11,1.02936567435998
4,12,1.02765049940348
4,13,1.02565876044039
4,14,1.0234136868227
4,15,1.02000425157678
4,16,1.01447978989543
4,17,1.00679640600911
4,18,0.997495307368933
4,19,0.987218026141519
4,20,0.976866632619374
4,21,0.967429385274601
4,22,0.960605940638602
4,23,0.95871129554274
5,0,0.958506859936848
5,1,0.963865663915891
5,2,0.973928288699704
5,3,0.985650110383077
5,4,0.996956823605777
5,5,1.0068959132265
5,6,1.01471391756793
5,7,1.02042155298738
5,8,1.02429748997968
5,9,1.02675820045782
5,10,1.02843333510329
5,11,1.02987116780827
5,12,1.03082806875305
5,13,1.03068209776973
5,14,1.02869963820701
5,15,1.02391776509095
5,16,1.01550676546689
5,17,1.00452117626324
5,18,0.993230525877679
5,19,0.983273601304649
5,20,0.974416577918981
5,21,0.966191114057155
5,22,0.959926485681662
5,23,0.958506859936848
6,0,0.956944561440958
6,1,0.962071229310103
6,2,0.972017371656069
6,3,0.984869715201963
6,4,0.998530022017414
6,5,1.01068621559275
6,6,1.01939973768551
6,7,1.02488878164435
6,8,1.02811840342986
6,9,1.02987926621017
6,10,1.03069055749623
6,11,1.030978031061
6,12,1.03061087908669
6,13,1.02919252109167
6,14,1.02626565580425
6,15,1.02124907822723
6,16,1.01363034686136
6,17,1.00387776540773
6,18,0.993092282974606
6,19,0.982292336294763
6,20,0.972228680137825
6,21,0.963639778464531
6,22,0.957902221461997
6,23,0.956944561440958
7,0,0.957151176337199
7,1,0.964072822541404
7,2,0.975411158277592
7,3,0.987663272911954
7,4,0.99879813105375
7,5,1.008486339788
7,6,1.01648649205787
7,7,1.0225191154531
7,8,1.0262992860464
7,9,1.02800896706025
7,10,1.02855381739306
7,11,1.02878427344569
7,12,1.02861781441299
7,13,1.02752756252092
7,14,1.02507230185552
7,15,1.02099619492044
7,16,1.01507217475744
7,17,1.00713627608845
7,18,0.997065723295273
7,19,0.985215402112814
7,20,0.973312242289942
7,21,0.963329850915638
7,22,0.957268428127102
7,23,0.957151176337199
