wday,hour,N
1,0,1.00009237163097
1,1,1.00016721597139
1,2,1.00023099323726
1,3,1.00027818372228
1,4,1.00030424379936
1,5,1.00030575829161
1,6,1.00028041585787
1,7,1.00023173015192
1,8,1.00016525106813
1,9,1.00008720350115
1,10,1.00000485544472
1,11,0.999925285677051
1,12,0.999853357685441
1,13,0.999792873292981
1,14,0.999746774790596
1,15,0.999716215675276
1,16,0.9997022432996
1,17,0.999707289513265
1,18,0.999734676935541
1,19,0.99978529851699
1,20,0.99985301542876
1,21,0.999930510161349
1,22,1.00001186471551
1,23,1.00009237163097
2,0,1.00000151679405
2,1,1.00000114026756
2,2,1.00000066303747
2,3,1.00000011660667
2,4,0.999999546761865
2,5,0.999999015803376
2,6,0.999998579750226
2,7,0.999998254325854
2,8,0.999998041372744
2,9,0.999997950373022
2,10,0.999998002672063
2,11,0.999998215717486
2,12,0.999998567897691
2,13,0.999999018979725
2,14,0.999999529411833
2,15,1.00000006131128
2,16,1.00000057730857
2,17,1.00000104355757
2,18,1.00000142848984
2,19,1.00000170516103
2,20,1.00000185981885
2,21,1.00000188146954
2,22,1.00000176631764
2,23,1.00000151679405
3,0,1.00000077796457
3,1,1.00000082443574
3,2,1.00000082697239
3,3,1.00000082664029
3,4,1.00000084211042
3,5,1.00000086616299
3,6,1.00000088245407
3,7,1.00000083165396
3,8,1.00000064039966
3,9,1.00000028993842
3,10,0.999999846186734
3,11,0.999999381392582
3,12,0.999998960244574
3,13,0.999998643729969
3,14,0.999998477146012
3,15,0.99999847293459
3,16,0.999998636310688
3,17,0.999998936570051
3,18,0.999999319835067
3,19,0.999999732186466
3,20,1.00000012069614
3,21,1.00000043428054
3,22,1.00000065178951
3,23,1.00000077796457
4,0,1.00000086147334
4,1,1.00000066991646
4,2,1.00000039854779
4,3,1.00000004882934
4,4,0.999999648582347
4,5,0.99999925610204
4,6,0.999998927213247
4,7,0.999998694418243
4,8,0.999998581885306
4,9,0.999998600211675
4,10,0.999998738972096
4,11,0.999998983579749
4,12,0.999999300759594
4,13,0.999999648370783
4,14,0.999999991700407
4,15,1.00000031172703
4,16,1.00000059147996
4,17,1.00000081485919
4,18,1.00000096633563
4,19,1.00000103950102
4,20,1.00000105415633
4,21,1.00000103344628
4,22,1.00000097645881
4,23,1.00000086147334
5,0,1.00000026928496
5,1,1.00000016413845
5,2,1.00000003187221
5,3,0.999999874618455
5,4,0.999999704131869
5,5,0.999999543291734
5,6,0.999999414762422
5,7,0.999999336538158
5,8,0.999999324809684
5,9,0.999999384970106
5,10,0.999999505678718
5,11,0.999999673089121
5,12,0.999999864887267
5,13,1.00000005474683
5,14,1.0000002204908
5,15,1.00000034869544
5,16,1.00000042839958
5,17,1.00000046445646
5,18,1.00000047191878
5,19,1.00000046267761
5,20,1.00000043904035
5,21,1.00000040141254
5,22,1.0000003468035
5,23,1.00000026928496
6,0,1.00000635520917
6,1,1.00000572314828
6,2,1.00000456865989
6,3,1.00000283853923
6,4,1.0000006601611
6,5,0.999998369669263
6,6,0.999996289174976
6,7,0.999994597193917
6,8,0.999993420980551
6,9,0.999992807275446
6,10,0.999992678100311
6,11,0.999992956605728
6,12,0.999993660109892
6,13,0.999994850272554
6,14,0.999996497391672
6,15,0.999998379599781
6,16,1.00000025922128
6,17,1.0000019961016
6,18,1.00000351301654
6,19,1.00000474731443
6,20,1.00000567524528
6,21,1.00000627900796
6,22,1.00000652279197
6,23,1.00000635520917
7,0,0.999995001425838
7,1,0.999990639489577
7,2,0.999987416348275
7,3,0.999985453038282
7,4,0.999984684090717
7,5,0.999984828417059
7,6,0.999985637657446
7,7,0.999987113801318
7,8,0.999989344533269
7,9,0.999992337388899
7,10,0.999995975537426
7,11,1.00000011433271
7,12,1.00000447318935
7,13,1.00000870682308
7,14,1.00001249014583
7,15,1.00001554125796
7,16,1.00001758277794
7,17,1.000018326628
7,18,1.00001747798334
7,19,1.00001489503425
7,20,1.00001087645068
7,21,1.00000581010598
7,22,1.00000027211694
7,23,0.999995001425838
