wday,hour,N
1,0,0.774579802369756
1,1,0.625893215078015
1,2,0.537626552745851
1,3,0.493791886431192
1,4,0.497803730204326
1,5,0.575507861463589
1,6,0.740962075645257
1,7,0.935270215028965
1,8,1.07496725635432
1,9,1.12415093390309
1,10,1.12068072512721
1,11,1.10510822940108
1,12,1.08897425339975
1,13,1.0700718695367
1,14,1.06018810130317
1,15,1.10063392067183
1,16,1.22939671342756
1,17,1.40261019571818
1,18,1.52362756523913
1,19,1.52310933834518
1,20,1.41279744612203
1,21,1.21983977741162
1,22,0.987828532702445
1,23,0.774579802369756
2,0,0.786563405750908
2,1,0.630992092263735
2,2,0.537786973885109
2,3,0.494187010947935
2,4,0.503951788629652
2,5,0.589940470753313
2,6,0.762697712875377
2,7,0.957906430635712
2,8,1.08613425435013
2,9,1.11251955376583
2,10,1.08682584586451
2,11,1.06100221955011
2,12,1.04654270550144
2,13,1.0357440271504
2,14,1.03614270338564
2,15,1.08748221482787
2,16,1.22656446748919
2,17,1.40885120351188
2,18,1.53735485760977
2,19,1.54231801737346
2,20,1.43482683446402
2,21,1.24137651731681
2,22,1.00572528634628
2,23,0.786563405750908
3,0,0.78642876009208
3,1,0.628042152036882
3,2,0.531986251383859
3,3,0.488364016964664
3,4,0.501791300017429
3,5,0.593662380713903
3,6,0.772639614792452
3,7,0.97091139185994
3,8,1.09507749783558
3,9,1.11153763771187
3,10,1.07942276439487
3,11,1.05899424107652
3,12,1.05614087206055
3,13,1.05095617045532
3,14,1.0450466628221
3,15,1.08546647319472
3,16,1.21742596400839
3,17,1.39817584621752
3,18,1.52824734996274
3,19,1.53579260886112
3,20,1.43113605894662
3,21,1.2402361120734
3,22,1.0060891124254
3,23,0.78642876009208
4,0,0.794233631548532
4,1,0.639728334150951
4,2,0.544459875961186
4,3,0.497118106905122
4,4,0.50322666899921
4,5,0.587770837155943
4,6,0.762741237461592
4,7,0.96134803781567
4,8,1.09037531896286
4,9,1.11426755217728
4,10,1.08688543524399
4,11,1.06397280853855
4,12,1.05514359835182
4,13,1.04811751594887
4,14,1.04734318386304
4,15,1.09263380785119
4,16,1.22149745048308
4,17,1.39287841817348
4,18,1.51506090971605
4,19,1.52156627802213
4,20,1.42094069236823
4,21,1.23614901405846
4,22,1.00830765469423
4,23,0.794233631548532
5,0,0.806157475040735
5,1,0.651354966989285
5,2,0.546959697564306
5,3,0.496196447090537
5,4,0.507515777977799
5,5,0.595409805958389
5,6,0.763609813963122
5,7,0.953749485234848
5,8,1.08665233474809
5,9,1.12978150555015
5,10,1.12292515976118
5,11,1.10791503104153
5,12,1.09340298063532
5,13,1.07232126788109
5,14,1.05422257754338
5,15,1.08371692913629
5,16,1.20257642173895
5,17,1.3682656112581
5,18,1.48388688371514
5,19,1.48131037029315
5,20,1.37776444126913
5,21,1.20593740518421
5,22,1.00221013538451
5,23,0.806157475040735
6,0,0.802794648919659
6,1,0.66657843059423
6,2,0.570562669388183
6,3,0.50979884957179
6,4,0.491345441768161
6,5,0.536142254764121
6,6,0.658039669906358
6,7,0.826890874106287
6,8,0.997427617544913
6,9,1.13480167424318
6,10,1.2203396581936
6,11,1.2406300152631
6,12,1.21299909155837
6,13,1.16942359091032
6,14,1.14072120567027
6,15,1.15508988186746
6,16,1.23550447689877
6,17,1.34805621189618
6,18,1.4221580560699
6,19,1.40739610273741
6,20,1.31314397890648
6,21,1.15996086563733
6,22,0.977400084664281
6,23,0.802794648919659
7,0,0.760437060704404
7,1,0.628807392708115
7,2,0.548886892099235
7,3,0.501801179319277
7,4,0.485228216999997
7,5,0.515982215003914
7,6,0.607515879225295
7,7,0.748507100042015
7,8,0.918869040440434
7,9,1.08939149930309
7,10,1.21673646462947
7,11,1.26338753021016
7,12,1.2477131856958
7,13,1.21468132396175
7,14,1.2012154821174
7,15,1.2270260300102
7,16,1.30574968805982
7,17,1.4056135339573
7,18,1.46556489255599
7,19,1.4407865077283
7,20,1.33456693203255
7,21,1.15996613895119
7,22,0.951128753539888
7,23,0.760437060704404
