Pollutant,sector,month,coeff,coeff_l,coeff_u
CO2,"",1,1.00215393122029,1.0020738118582,1.00223405058238
CO2,"",2,1.00176231486106,1.00169241857874,1.00183221114338
CO2,"",3,1.00137069775524,1.00131013808529,1.0014312574252
CO2,"",4,1.00097907889172,1.00092654626261,1.00103161152083
CO2,"",5,1.00058745728143,1.00054100947507,1.00063390508779
CO2,"",6,1.00019583226984,1.00015273725387,1.00023892728581
CO2,"",7,0.999804203618319,0.999761108602353,0.999847298634286
CO2,"",8,0.999412571424972,0.999366123618611,0.999459019231333
CO2,"",9,0.999020936110076,0.998968403480968,0.999073468739183
CO2,"",10,0.998629298372303,0.998568738702346,0.99868985804226
CO2,"",11,0.998237659085779,0.998167762803462,0.998307555368097
CO2,"",12,0.99784601910897,0.997765899746879,0.99792613847106
CO2,1,1,1.11884242077164,1.1138719694447,1.12381287209858
CO2,1,2,1.07155961827742,1.0668279536706,1.07629128288424
CO2,1,3,1.0398880892173,1.03568747593188,1.04408870250272
CO2,1,4,0.996185223728168,0.992167631892904,1.00020281556343
CO2,1,5,0.962397965384146,0.957971582888893,0.966824347879398
CO2,1,6,0.969450039045694,0.964654721745253,0.974245356346135
CO2,1,7,0.96165865474436,0.956863337443919,0.966453972044801
CO2,1,8,0.897402743603405,0.892976361108152,0.901829126098657
CO2,1,9,0.912608690433735,0.908591098598471,0.916626282269
CO2,1,10,1.00864996571042,1.004449352425,1.01285057899584
CO2,1,11,1.05732069113431,1.05258902652749,1.06205235574113
CO2,1,12,1.0040358979494,0.999065446622458,1.00900634927635
CO2,10,1,0.794770783136649,0.71298882307049,0.876552743202807
CO2,10,2,0.926764594961531,0.851197477903006,1.00233171202006
CO2,10,3,1.4681687852885,1.40071336195126,1.53562420862574
CO2,10,4,1.6676956630338,1.60230935027358,1.73308197579402
CO2,10,5,1.2843135660219,1.21356013302618,1.35506699901761
CO2,10,6,0.924342569610477,0.848651853038451,1.0000332861825
CO2,10,7,0.867638733570151,0.791948016998124,0.943329450142178
CO2,10,8,0.841267195619823,0.770513762624104,0.912020628615541
CO2,10,9,0.811779772626327,0.746393459866111,0.877166085386543
CO2,10,10,0.805737473074755,0.738282049737516,0.873192896411995
CO2,10,11,0.806344027474752,0.730776910416227,0.881911144533276
CO2,10,12,0.80117683558134,0.719394875515182,0.882958795647498
CO2,11,1,1.00204228227047,1.00197242180248,1.00211214273846
CO2,11,2,1.00167096090253,1.00161001271965,1.00173190908541
CO2,11,3,1.00129963908664,1.0012468317058,1.00135244646748
CO2,11,4,1.00092831634439,1.00088250903476,1.00097412365402
CO2,11,5,1.00055699232065,1.00051649211499,1.00059749252631
CO2,11,6,1.00018566693936,1.00014809131281,1.00022324256591
CO2,11,7,0.999814340460669,0.99977676483412,0.999851916087219
CO2,11,8,0.999443013420407,0.999402513214744,0.99948351362607
CO2,11,9,0.999071686424457,0.999025879114826,0.999117493734088
CO2,11,10,0.99870035987851,0.998647552497667,0.998753167259353
CO2,11,11,0.998329033844455,0.998268085661574,0.998389982027337
CO2,11,12,0.997957708107463,0.997887847639473,0.998027568575453
CO2,2,1,1.75620254886198,1.75302634737931,1.75937875034465
CO2,2,2,1.743200512735,1.74016478835802,1.74623623711197
CO2,2,3,1.51171877289626,1.50902507483221,1.5144124709603
CO2,2,4,1.153117326976,1.15054657386661,1.15568808008539
CO2,2,5,0.750777076810211,0.747937227124031,0.753616926496391
CO2,2,6,0.37485859065339,0.371776078566339,0.377941102740441
CO2,2,7,0.202750904657347,0.199668392570296,0.205833416744398
CO2,2,8,0.204440159338204,0.201600309652024,0.207280009024385
CO2,2,9,0.400151283468738,0.397580530359345,0.40272203657813
CO2,2,10,0.839696107204694,0.837002409140652,0.842389805268735
CO2,2,11,1.35385663849111,1.35082091411413,1.35689236286808
CO2,2,12,1.70923007790708,1.70605387642441,1.71240627938975
CO2,3,1,0.965343128651585,0.963310178253779,0.967376079049392
CO2,3,2,0.986208811797691,0.984266894725459,0.988150728869923
CO2,3,3,1.0281582929704,1.02643505115836,1.02988153478245
CO2,3,4,1.01424457478304,1.01259946110162,1.01588968846446
CO2,3,5,0.995766182542959,0.99394956590613,0.997582799179788
CO2,3,6,1.02363906821704,1.02166778190364,1.02561035453043
CO2,3,7,0.987657751096322,0.985686464782929,0.989629037409714
CO2,3,8,0.969369729682609,0.96755311304578,0.971186346319438
CO2,3,9,1.01042911387432,1.00878400019291,1.01207422755574
CO2,3,10,1.04830703202108,1.04658379020903,1.05003027383312
CO2,3,11,1.02254168705235,1.02059976998011,1.02448360412458
CO2,3,12,0.948334627310603,0.946301676912796,0.950367577708409
CO2,4,1,0.98018319370666,0.978198331012987,0.982168056400333
CO2,4,2,1.00181391245716,0.999917613274356,1.00371021163997
CO2,4,3,1.04199527549686,1.0403125473524,1.04367800364131
CO2,4,4,1.01395060117608,1.01234431207167,1.01555689028048
CO2,4,5,0.982908741589188,0.981134799004069,0.984682684174306
CO2,4,6,1.01379278440145,1.01186764788242,1.01571792092048
CO2,4,7,0.979021919773805,0.977096783254776,0.980947056292833
CO2,4,8,0.957628124605603,0.955854182020484,0.959402067190722
CO2,4,9,0.999794443288497,0.99818815418409,1.0014007323929
CO2,4,10,1.04328934668353,1.04160661853907,1.04497207482798
CO2,4,11,1.02495340399172,1.02305710480892,1.02684970317453
CO2,4,12,0.960668252829449,0.958683390135776,0.962653115523122
